HMM,Hit_Protein_ID,Genomic_Location,E-value,barcode01,barcode02,barcode03,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,control_barcode04
RM__Type_I_S_01.hmm,c_000000105215_4,c_000000105215:3104-4258,7.40e-13,0.0,0.0,3.055241438545155e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,6.893760939536892e-05,0.0,0.0003125076173731735,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000031049_6,c_000000031049:7210-8430,1.80e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002757504375814757,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000084908_390,c_000000084908:425602-426984,3.10e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018568033273915628,0.0005000121877970776,0.0,0.008131770828627448,0.0
RM__Type_I_S_01.hmm,c_000000084908_390,c_000000084908:425602-426984,8.40e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018568033273915628,0.0005000121877970776,0.0,0.008131770828627448,0.0
RM__Type_I_S_01.hmm,c_000000087256_4,c_000000087256:5949-7289,6.00e-34,0.0,0.0,0.00014512396833089487,0.0,0.0,0.00010200972764762848,0.0,0.0,0.00020681282818610673,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069293_3,c_000000069293:4404-5732,8.00e-34,0.0,0.0,0.0007256198416544744,0.0,0.0,0.001530145914714427,0.0,4.119386409155583e-05,0.0005515008751629513,0.0,0.0003125076173731735,0.001189513251177618,0.0,0.0
RM__Type_I_S_01.hmm,c_000000092855_5,c_000000092855:3719-4975,1.40e-28,0.0,0.0,2.2914310789088663e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000070580_21,c_000000070580:18877-19653,9.90e-29,0.0,0.0,0.0008631057063890064,0.0,0.0,0.002754262646485969,0.0,0.0,0.00041362565637221346,0.0,0.000625015234746347,0.0,0.0009035300920697165,0.0
RM__Type_I_S_01.hmm,c_000000069292_2,c_000000069292:2417-3706,1.30e-18,0.0,0.00035444904440537625,5.3466725174540215e-05,0.0,0.0,0.0018361750976573126,0.0,4.119386409155583e-05,0.00024128163288379117,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000007925_263,c_000000007925:262248-265049,2.50e-28,0.0,0.0,4.5828621578177325e-05,0.0002314236255750877,0.0,3.400324254920949e-05,0.0,0.0,0.00013787521879073784,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000100596_2,c_000000100596:480-1124,6.30e-28,0.0,0.0,3.819051798181444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000009362_10,c_000000009362:5567-6058,8.20e-27,0.0,0.0,7.638103596362888e-06,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000077748_7,c_000000077748:7995-8894,4.30e-11,0.0,0.0,0.00015276207192725777,0.0,0.0,0.00017001621274604747,0.0,0.0,0.00010340641409305336,0.0,0.0001875045704239041,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000077748_7,c_000000077748:7995-8894,6.40e-11,0.0,0.0,0.00015276207192725777,0.0,0.0,0.00017001621274604747,0.0,0.0,0.00010340641409305336,0.0,0.0001875045704239041,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000086874_5,c_000000086874:4609-6093,3.10e-11,0.0,0.0,4.5828621578177325e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000086874_5,c_000000086874:4609-6093,1.40e-12,0.0,0.0,4.5828621578177325e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000095419_4,c_000000095419:3142-4509,7.70e-13,0.0,0.0,7.638103596362888e-06,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00010340641409305336,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069526_19,c_000000069526:10050-11240,8.00e-14,0.0,0.0,2.2914310789088663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000083147_27,c_000000083147:26678-28033,3.10e-22,0.0,0.0,9.165724315635465e-05,0.0,0.0,0.0005100486382381424,0.0,0.0,0.00017234402348842228,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000081130_8,c_000000081130:8265-9482,1.90e-11,7.268889299177308e-05,0.0,0.0002520574186799753,0.0,0.0,0.0017341653700096843,0.0,0.0,6.893760939536892e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000101473_19,c_000000101473:13605-14888,4.90e-16,0.0,0.0,9.165724315635465e-05,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000028767_4,c_000000028767:1561-2208,1.90e-23,0.0,0.0,0.00029788604025815263,0.0,0.0,0.0004080389105905139,0.0,0.0,0.0002757504375814757,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000095418_3,c_000000095418:3139-4473,2.70e-23,0.0,0.0,4.5828621578177325e-05,0.0,0.0,0.0,0.0,0.0,6.893760939536892e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000085743_417,c_000000085743:430446-431864,1.80e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018568033273915628,0.0003750091408478082,0.0,0.008131770828627448,0.0
RM__Type_I_S_01.hmm,c_000000069295_3,c_000000069295:1751-2302,2.20e-21,0.00014537778598354615,0.00035444904440537625,0.00029788604025815263,0.0,0.0,0.0010200972764762848,0.0,4.119386409155583e-05,0.0002757504375814757,0.0,0.0003125076173731735,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069306_1,c_000000069306:3-833,3.80e-21,0.0,0.0,6.11048287709031e-05,0.0,0.0,0.00013601297019683796,0.0,0.0,0.00010340641409305336,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000101518_1,c_000000101518:2-649,2.70e-20,0.0,0.0,2.2914310789088663e-05,0.0,0.0,0.0,0.0,0.0,6.893760939536892e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000082386_25,c_000000082386:33538-34392,8.70e-20,0.0,0.0,0.0003666289726254186,0.0002314236255750877,0.0,0.0007140680935333993,0.0,0.0,0.00048256326576758235,0.0,0.0013750335164419633,0.001189513251177618,0.0,0.0
RM__Type_I_S_01.hmm,c_000000013257_1,c_000000013257:3-782,4.70e-19,0.0,0.0,2.2914310789088663e-05,0.0,0.0,0.00017001621274604747,0.0,0.0,3.446880469768446e-05,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000014222_45,c_000000014222:36722-37480,8.00e-19,0.0,0.0,7.638103596362888e-06,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.0,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000096096_7,c_000000096096:4213-4533,1.10e-16,0.0,0.0,0.0001833144863127093,0.0,0.0,0.00017001621274604747,0.0,0.0,0.00013787521879073784,0.0,0.0002500060938985388,0.0,0.0009035300920697165,0.0
RM__Type_I_S_01.hmm,c_000000096100_3,c_000000096100:3082-4176,8.70e-12,0.0,0.0,7.638103596362888e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000028714_3,c_000000028714:4687-5814,2.10e-13,7.268889299177308e-05,0.00035444904440537625,0.0007561722560399259,0.0,0.0,0.0009180875488286563,0.0,4.119386409155583e-05,0.0002757504375814757,0.0,0.00043751066432244287,0.001189513251177618,0.0,0.0
RM__Type_I_S_01.hmm,c_000000077726_45,c_000000077726:53711-54376,5.20e-14,0.0,0.0,9.165724315635465e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,6.893760939536892e-05,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000082594_12,c_000000082594:11352-12017,5.20e-14,0.0,0.0,3.819051798181444e-05,0.0,0.0,0.0,0.0,0.0,3.446880469768446e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000071628_15,c_000000071628:13855-14340,3.40e-13,0.0,0.0,7.638103596362888e-06,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000002448_19,c_000000002448:16918-17361,1.60e-12,0.0,0.0,7.638103596362888e-06,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069298_5,c_000000069298:6891-7589,2.50e-11,0.0,0.00035444904440537625,0.0006263244949017568,0.0,0.0,0.0008840843062794468,0.0,0.0,0.0005859696798606358,0.0,0.0007500182816956164,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000030153_26,c_000000030153:15393-16337,1.70e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000077241_1,c_000000077241:209-1114,8.60e-38,0.0,0.0,0.00023678121148724954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000077252_2,c_000000077252:669-1610,8.90e-15,0.0,0.0,4.5828621578177325e-05,0.0,0.0,0.0,0.0,0.0,3.446880469768446e-05,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000077252_2,c_000000077252:669-1610,3.60e-13,0.0,0.0,4.5828621578177325e-05,0.0,0.0,0.0,0.0,0.0,3.446880469768446e-05,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000087963_45,c_000000087963:30964-31362,2.40e-29,0.0,0.0,3.055241438545155e-05,0.0,0.0,0.0,0.0,0.0,0.00017234402348842228,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000094159_21,c_000000094159:9193-10104,6.60e-25,7.268889299177308e-05,0.001417796177621505,3.055241438545155e-05,0.0,0.0,0.00020401945529525695,0.0,0.0001235815922746675,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000019903_63,c_000000019903:45065-45928,2.50e-14,0.0,0.0,1.5276207192725776e-05,0.0002314236255750877,0.0,3.400324254920949e-05,0.0,4.119386409155583e-05,0.00010340641409305336,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000077906_24,c_000000077906:23621-24553,6.20e-19,0.00043613335795063843,0.0021266942664322575,6.8742932367266e-05,0.0004628472511501754,0.0006726170858192141,6.800648509841898e-05,0.0,0.0009474588741057843,0.00010340641409305336,0.0,0.0001250030469492694,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000090028_45,c_000000090028:22087-23016,2.80e-11,0.00021806667897531921,0.0,0.0007714484632326518,0.0002314236255750877,0.0,0.0028902756166828067,0.0007804055767782515,0.0003707447768240025,0.001447689797302747,0.0,0.0003750091408478082,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000022962_8,c_000000022962:3666-4217,8.40e-16,0.00014537778598354615,0.0,0.0,0.0,0.0,0.0,0.0,8.238772818311166e-05,0.0,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_36.hmm,c_000000068622_1,c_000000068622:171-767,1.20e-12,0.001090333394876596,0.003898939488459139,6.11048287709031e-05,0.0011571181278754385,0.0026904683432768563,0.00020401945529525695,0.0,0.0009474588741057843,0.00013787521879073784,0.0018568033273915628,0.0,0.0,0.001807060184139433,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000066911_9,c_000000066911:7786-11058,4.20e-28,0.0,0.0,0.00019859069350543508,0.0,0.0,0.0008840843062794468,0.0,4.119386409155583e-05,0.00034468804697684456,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000070596_13,c_000000070596:11540-15271,2.50e-25,0.0,0.0,0.0001222096575418062,0.0,0.0,0.0004080389105905139,0.0,4.119386409155583e-05,0.0012408769691166404,0.0,0.0,0.0,0.0009035300920697165,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000068382_9,c_000000068382:8985-10877,2.70e-17,0.0,0.0,9.165724315635465e-05,0.0,0.0,0.0010200972764762848,0.0,0.0,0.00010340641409305336,0.0,0.0001250030469492694,0.001189513251177618,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000080664_1,c_000000080664:242-2134,2.70e-17,0.0,0.0,4.5828621578177325e-05,0.0,0.0,0.00017001621274604747,0.0,0.0,3.446880469768446e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000068382_8,c_000000068382:5896-8988,6.60e-21,0.0,0.0,9.929534675271754e-05,0.0,0.0,0.0009520907913778659,0.0,0.0,3.446880469768446e-05,0.0,0.0001875045704239041,0.001189513251177618,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000080664_2,c_000000080664:2131-5223,6.60e-21,0.0,0.0,6.11048287709031e-05,0.0,0.0,0.00013601297019683796,0.0,0.0,0.00010340641409305336,0.0,0.0001875045704239041,0.001189513251177618,0.0009035300920697165,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000070585_10,c_000000070585:7563-10892,2.10e-18,0.0,0.0,0.0007027055308653857,0.0,0.0,0.00017001621274604747,0.0,4.119386409155583e-05,6.893760939536892e-05,0.0,0.0002500060938985388,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000076993_53,c_000000076993:55969-57855,3.20e-13,0.0,0.0,4.5828621578177325e-05,0.0,0.0,6.800648509841898e-05,0.0,4.119386409155583e-05,0.00034468804697684456,0.0,0.0,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000070594_11,c_000000070594:9057-12188,3.90e-12,0.0,0.0,9.165724315635465e-05,0.0,0.0,0.0009180875488286563,0.0,0.0,0.00010340641409305336,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM_Type_II__Type_II_MTases_FAM_31.hmm,c_000000085406_2,c_000000085406:249-488,4.70e-12,0.0,0.0,9.929534675271754e-05,0.0,0.0,6.800648509841898e-05,0.0,0.0,3.446880469768446e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000095419_4,c_000000095419:3142-4509,4.60e-61,0.0,0.0,7.638103596362888e-06,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00010340641409305336,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000085743_417,c_000000085743:430446-431864,1.90e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018568033273915628,0.0003750091408478082,0.0,0.008131770828627448,0.0
RM__Type_I_S_06.hmm,c_000000092855_5,c_000000092855:3719-4975,2.90e-59,0.0,0.0,2.2914310789088663e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000069293_3,c_000000069293:4404-5732,1.20e-58,0.0,0.0,0.0007256198416544744,0.0,0.0,0.001530145914714427,0.0,4.119386409155583e-05,0.0005515008751629513,0.0,0.0003125076173731735,0.001189513251177618,0.0,0.0
RM__Type_I_S_06.hmm,c_000000032671_25,c_000000032671:19296-20495,5.40e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875045704239041,0.0,0.003614120368278866,0.0
RM__Type_I_S_06.hmm,c_000000085742_173,c_000000085742:169471-170880,8.60e-54,0.0,0.0,0.0,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.0,0.0,0.0003125076173731735,0.0,0.00993883101276688,0.0
RM__Type_I_S_06.hmm,c_000000082091_8,c_000000082091:10681-11922,1.70e-25,0.0,0.0,1.5276207192725776e-05,0.0,0.0,0.00020401945529525695,0.0,0.0,6.893760939536892e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000082091_8,c_000000082091:10681-11922,3.90e-24,0.0,0.0,1.5276207192725776e-05,0.0,0.0,0.00020401945529525695,0.0,0.0,6.893760939536892e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000101473_19,c_000000101473:13605-14888,5.70e-53,0.0,0.0,9.165724315635465e-05,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000066831_5,c_000000066831:3862-5127,1.80e-50,0.0,0.0,0.0001833144863127093,0.0002314236255750877,0.0,0.00017001621274604747,0.0,0.0,0.00020681282818610673,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000096100_3,c_000000096100:3082-4176,1.50e-50,0.0,0.0,7.638103596362888e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,0.0,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000095418_3,c_000000095418:3139-4473,2.10e-49,0.0,0.0,4.5828621578177325e-05,0.0,0.0,0.0,0.0,0.0,6.893760939536892e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000082888_1,c_000000082888:2-979,1.10e-48,0.0,0.0,7.638103596362888e-06,0.0,0.0,0.0,0.0,0.0,6.893760939536892e-05,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000076993_35,c_000000076993:35958-37166,1.70e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024128163288379117,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000087842_15,c_000000087842:10639-11937,2.70e-22,0.0,0.0,0.00014512396833089487,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00013787521879073784,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000087842_15,c_000000087842:10639-11937,8.10e-22,0.0,0.0,0.00014512396833089487,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00013787521879073784,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000002732_2,c_000000002732:103-1443,5.30e-44,0.0,0.0,3.819051798181444e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,3.446880469768446e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000031049_6,c_000000031049:7210-8430,5.10e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002757504375814757,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000105215_4,c_000000105215:3104-4258,6.90e-27,0.0,0.0,3.055241438545155e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,6.893760939536892e-05,0.0,0.0003125076173731735,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000105215_4,c_000000105215:3104-4258,1.50e-11,0.0,0.0,3.055241438545155e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,6.893760939536892e-05,0.0,0.0003125076173731735,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000077748_7,c_000000077748:7995-8894,2.00e-42,0.0,0.0,0.00015276207192725777,0.0,0.0,0.00017001621274604747,0.0,0.0,0.00010340641409305336,0.0,0.0001875045704239041,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000069291_7,c_000000069291:7923-9170,3.20e-31,0.0,0.0,5.3466725174540215e-05,0.0,0.0,0.0006120583658857709,0.0,0.0,0.00013787521879073784,0.0,0.000812519805170251,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000069290_7,c_000000069290:7412-8575,2.60e-19,0.0,0.0,3.819051798181444e-05,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000069290_7,c_000000069290:7412-8575,2.50e-19,0.0,0.0,3.819051798181444e-05,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_06.hmm,c_000000084908_390,c_000000084908:425602-426984,2.80e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018568033273915628,0.0005000121877970776,0.0,0.008131770828627448,0.0
RM__Type_I_S_06.hmm,c_000000070583_21,c_000000070583:20535-21761,1.60e-28,0.0,0.0,0.0005728577697272166,0.0,0.0,0.0022442140082478265,0.00039020278838912577,0.0,0.0012064081644189558,0.0,0.0008750213286448857,0.002379026502355236,0.0,0.0
RM__Type_I_S_06.hmm,c_000000001804_1,c_000000001804:61-1776,1.90e-17,7.268889299177308e-05,0.0,9.165724315635465e-05,0.0,0.0,0.00023802269784446646,0.0,4.119386409155583e-05,0.0002757504375814757,0.0,0.0002500060938985388,0.0,0.0009035300920697165,0.0
