seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_126566	5761	No terminal repeats	7	11	0.9319	NA	0	0.0000	NA	NA
contig_101468	15638	No terminal repeats	12	11	0.9317	NA	0	6.6013	NA	NA
contig_123066	5740	No terminal repeats	9	11	0.9317	NA	0	0.0000	NA	NA
contig_113202	7306	No terminal repeats	9	11	0.9316	NA	0	0.0000	NA	NA
contig_97860	4293	No terminal repeats	5	11	0.9315	NA	0	0.0000	NA	NA
contig_66927	5647	No terminal repeats	3	11	0.9314	NA	0	0.0000	NA	NA
contig_98675	8577	No terminal repeats	9	11	0.9314	NA	0	0.7874	NA	NA
contig_67024	18381	No terminal repeats	22	11	0.9314	NA	0	0.0000	NA	NA
contig_118089	7258	No terminal repeats	8	11	0.9314	NA	0	0.0000	NA	NA
contig_57917	70393	No terminal repeats	83	11	0.9313	NA	0	1.5007	T_virB11;T_virB9	NA
contig_79390	7222	No terminal repeats	7	11	0.9312	NA	0	0.0000	NA	NA
contig_81579	8440	No terminal repeats	9	11	0.9311	NA	0	0.0000	NA	NA
contig_52469	8254	No terminal repeats	11	11	0.9310	NA	0	1.6879	NA	NA
contig_69083	5934	No terminal repeats	5	11	0.9310	NA	0	0.0000	NA	NA
contig_66312	9452	No terminal repeats	12	11	0.9307	NA	0	0.0000	NA	NA
contig_113321	12046	No terminal repeats	15	11	0.9305	NA	0	0.0000	NA	NA
contig_134707	9726	No terminal repeats	12	11	0.9300	NA	0	0.0000	NA	NA
contig_70385	3723	No terminal repeats	6	11	0.9299	NA	0	1.6024	NA	NA
contig_78157	4989	DTR	5	11	0.9298	NA	0	0.0000	NA	NA
contig_88637	14153	No terminal repeats	13	11	0.9298	NA	0	0.0000	NA	NA
contig_110938	32439	No terminal repeats	32	11	0.9298	NA	0	2.7434	NA	NA
contig_118542	18593	No terminal repeats	21	11	0.9297	NA	0	0.0000	NA	NA
contig_123075	13054	No terminal repeats	12	11	0.9297	NA	0	0.0000	NA	NA
contig_77326	17188	No terminal repeats	25	11	0.9292	NA	0	0.3007	NA	NA
contig_105632	22554	No terminal repeats	14	11	0.9291	NA	0	0.0000	NA	NA
contig_56826	19162	No terminal repeats	21	11	0.9291	NA	0	0.0000	NA	NA
contig_75979	5720	No terminal repeats	5	11	0.9290	NA	0	0.0000	NA	NA
contig_124027	6197	No terminal repeats	9	11	0.9289	NA	0	0.0000	NA	NA
contig_105613	10259	No terminal repeats	11	11	0.9288	NA	0	1.8844	NA	NA
contig_64585	7830	No terminal repeats	2	11	0.9287	NA	0	0.0000	NA	NA
contig_77028	6750	No terminal repeats	10	11	0.9286	NA	0	0.0000	NA	NA
contig_84423	4954	No terminal repeats	9	11	0.9285	NA	0	0.0000	NA	NA
contig_106467	18095	No terminal repeats	19	11	0.9284	NA	0	0.0000	NA	NA
contig_79565	7377	No terminal repeats	7	11	0.9282	NA	0	0.0000	NA	NA
contig_85013	3219	No terminal repeats	7	11	0.9281	NA	0	0.0000	NA	NA
contig_101889	14041	No terminal repeats	12	11	0.9280	NA	0	0.0000	NA	NA
contig_109038	8461	No terminal repeats	8	11	0.9279	NA	0	0.0000	NA	NA
contig_78119	12542	No terminal repeats	9	11	0.9278	NA	0	0.0000	NA	NA
contig_127174	13011	No terminal repeats	17	11	0.9277	NA	0	0.0000	NA	NA
contig_128009	17901	No terminal repeats	27	11	0.9276	NA	0	0.0000	NA	NA
contig_69232	4911	No terminal repeats	4	11	0.9275	NA	0	0.0000	NA	NA
contig_83577	5688	No terminal repeats	5	11	0.9275	NA	0	0.0000	NA	NA
contig_28258	8178	No terminal repeats	6	11	0.9273	NA	0	0.0000	NA	NA
contig_126034	21723	No terminal repeats	28	11	0.9272	NA	0	0.0000	NA	NA
contig_66260	3288	No terminal repeats	4	11	0.9272	NA	0	0.0000	NA	NA
contig_51491	10012	No terminal repeats	9	11	0.9271	NA	0	0.0000	NA	NA
contig_61925	10230	No terminal repeats	14	11	0.9270	NA	0	0.0000	NA	NA
contig_108749	7347	No terminal repeats	8	11	0.9270	NA	0	0.0000	NA	NA
contig_110637	10244	No terminal repeats	12	11	0.9270	NA	0	0.0000	NA	NA
contig_79967	6462	No terminal repeats	9	11	0.9269	NA	0	0.0000	NA	NA
contig_63397	2612	No terminal repeats	6	11	0.9269	NA	0	0.0000	NA	NA
contig_120489	8235	No terminal repeats	5	11	0.9267	NA	0	0.0000	NA	NA
contig_122834	5183	No terminal repeats	10	11	0.9267	NA	0	0.0000	NA	NA
contig_109167	13469	No terminal repeats	15	11	0.9265	NA	0	0.0000	NA	NA
contig_52115	9739	No terminal repeats	8	11	0.9265	NA	0	0.0000	NA	NA
contig_120102	24492	No terminal repeats	23	11	0.9262	NA	0	0.0000	NA	NA
contig_65348	4217	No terminal repeats	7	11	0.9262	NA	0	0.0000	NA	NA
contig_123594	7366	No terminal repeats	11	11	0.9261	NA	0	0.0000	NA	NA
contig_53615	3012	No terminal repeats	4	11	0.9260	NA	0	0.0000	NA	NA
contig_74504	5813	No terminal repeats	5	11	0.9260	NA	0	0.0000	NA	NA
contig_94516	13745	No terminal repeats	25	11	0.9258	NA	0	0.0000	NA	NA
contig_79878	9178	No terminal repeats	12	11	0.9258	NA	1	2.2934	NA	NA
contig_111657	5018	No terminal repeats	5	11	0.9257	NA	0	0.0000	NA	NA
contig_81376	7144	No terminal repeats	11	11	0.9257	NA	0	0.0000	NA	NA
contig_105811	3424	No terminal repeats	5	11	0.9254	NA	0	0.0000	NA	NA
contig_98880	5938	No terminal repeats	5	11	0.9253	NA	0	0.0000	NA	NA
contig_103595	4938	No terminal repeats	5	11	0.9253	NA	0	1.4636	NA	NA
contig_89882	6812	No terminal repeats	11	11	0.9253	NA	0	0.0000	NA	NA
contig_120991	8114	No terminal repeats	11	11	0.9249	NA	0	0.0000	NA	NA
contig_100268	13507	No terminal repeats	16	11	0.9247	NA	0	0.0000	NA	NA
contig_133227	7010	No terminal repeats	6	11	0.9247	NA	0	0.8535	NA	NA
contig_98904	12229	No terminal repeats	14	11	0.9246	NA	0	0.0000	NA	NA
contig_125797	6331	No terminal repeats	8	11	0.9245	NA	0	0.0000	NA	NA
contig_105513	24961	No terminal repeats	15	11	0.9245	NA	0	0.0000	NA	NA
contig_99899	6764	No terminal repeats	12	11	0.9244	NA	0	0.0000	NA	NA
contig_76332	5917	No terminal repeats	9	11	0.9244	NA	0	0.0000	NA	NA
contig_91946	11987	No terminal repeats	16	11	0.9243	NA	0	0.0000	NA	NA
contig_94364	13458	No terminal repeats	14	11	0.9243	NA	0	0.0000	NA	NA
contig_75977	19098	No terminal repeats	19	11	0.9243	NA	0	0.0000	NA	NA
contig_62390	15619	No terminal repeats	12	11	0.9242	NA	0	0.0000	NA	NA
contig_78276	28946	No terminal repeats	28	11	0.9242	NA	0	0.0000	NA	NA
contig_92506	11346	No terminal repeats	18	11	0.9241	NA	0	0.0000	NA	NA
contig_122891	38386	No terminal repeats	44	11	0.9241	NA	0	0.0000	NA	NA
contig_51413	3447	No terminal repeats	5	11	0.9240	NA	0	0.0000	NA	NA
contig_126684	4352	No terminal repeats	6	11	0.9240	NA	0	0.0000	NA	NA
contig_72119	4779	No terminal repeats	6	11	0.9239	NA	0	0.0000	NA	NA
contig_132674	4340	No terminal repeats	9	11	0.9239	NA	0	0.3325	NA	NA
contig_114873	24156	No terminal repeats	29	11	0.9238	NA	0	0.0000	NA	NA
contig_69422	5340	No terminal repeats	5	11	0.9238	NA	0	0.0912	NA	NA
contig_92748	3553	No terminal repeats	7	11	0.9237	NA	0	0.3964	NA	NA
contig_107036	5577	No terminal repeats	9	11	0.9237	NA	0	0.0000	NA	NA
contig_79510	16275	No terminal repeats	19	11	0.9237	NA	0	0.0000	NA	NA
contig_102719	16524	No terminal repeats	19	11	0.9237	NA	0	0.0000	NA	NA
contig_72569	10231	No terminal repeats	13	11	0.9237	NA	1	1.1426	NA	NA
contig_135343	12845	No terminal repeats	17	11	0.9235	NA	0	0.0000	NA	NA
contig_113111	4467	No terminal repeats	5	11	0.9235	NA	0	0.0000	NA	NA
contig_87302	4099	No terminal repeats	4	11	0.9234	NA	0	0.0000	NA	NA
contig_64111	9150	No terminal repeats	12	11	0.9234	NA	0	1.4762	NA	NA
contig_97729	9267	No terminal repeats	15	11	0.9233	NA	0	0.0000	NA	NA
contig_52223	6509	No terminal repeats	10	11	0.9233	NA	0	0.3518	NA	NA
contig_123810	8869	No terminal repeats	13	11	0.9232	NA	0	0.0000	NA	NA
contig_107979	29354	No terminal repeats	33	11	0.9232	NA	0	0.0000	NA	NA
contig_54845	4235	No terminal repeats	10	11	0.9231	NA	0	0.0000	NA	NA
contig_118231	9303	No terminal repeats	7	11	0.9231	NA	0	0.0000	NA	NA
contig_54107	3578	No terminal repeats	5	11	0.9230	NA	0	0.0000	NA	NA
contig_60033	9185	No terminal repeats	14	11	0.9229	NA	0	0.0000	NA	NA
contig_121222	26081	No terminal repeats	21	11	0.9229	NA	0	0.0000	NA	NA
contig_116411	7400	No terminal repeats	8	11	0.9229	NA	0	0.0000	NA	NA
contig_127359	8294	No terminal repeats	9	11	0.9228	NA	0	0.0000	NA	NA
contig_81767	4815	No terminal repeats	5	11	0.9227	NA	0	0.0000	NA	NA
contig_80668	12717	No terminal repeats	10	11	0.9226	NA	0	0.0000	NA	NA
contig_119473	19351	No terminal repeats	22	11	0.9226	NA	0	0.0000	NA	NA
contig_89963	6777	No terminal repeats	11	11	0.9225	NA	0	0.0000	NA	NA
contig_126188	12952	No terminal repeats	16	11	0.9224	NA	0	0.0000	NA	NA
contig_71965	6012	No terminal repeats	8	11	0.9224	NA	0	0.0000	NA	NA
contig_53634	19456	No terminal repeats	28	11	0.9224	NA	0	0.9441	NA	NA
contig_126976	5894	No terminal repeats	8	11	0.9224	NA	0	0.0000	NA	NA
contig_79782	9145	No terminal repeats	10	11	0.9224	NA	0	0.0000	NA	NA
contig_116887	13258	No terminal repeats	19	11	0.9224	NA	0	0.0000	NA	NA
contig_95168	8522	No terminal repeats	8	11	0.9224	NA	0	0.0000	NA	NA
contig_114822	10701	No terminal repeats	16	11	0.9223	NA	0	0.0000	NA	NA
contig_72665	11308	No terminal repeats	11	11	0.9223	NA	0	0.0000	NA	NA
contig_69492	6232	No terminal repeats	12	11	0.9223	NA	0	0.0000	NA	NA
contig_90974	9271	No terminal repeats	11	11	0.9223	NA	0	0.0000	NA	NA
contig_111525	9572	No terminal repeats	8	11	0.9223	NA	0	0.0000	NA	NA
contig_120794	3768	No terminal repeats	4	11	0.9221	NA	0	0.0000	NA	NA
contig_63928	11778	No terminal repeats	12	11	0.9220	NA	0	0.0000	NA	NA
contig_76786	9788	No terminal repeats	24	11	0.9220	NA	0	0.0000	NA	NA
contig_136581	8331	No terminal repeats	8	11	0.9218	NA	0	0.0000	NA	NA
contig_69391	7205	No terminal repeats	7	11	0.9218	NA	0	0.0000	NA	NA
contig_48525	6658	No terminal repeats	5	11	0.9217	NA	0	0.0000	NA	NA
contig_121812	4492	No terminal repeats	6	11	0.9216	NA	0	0.0000	NA	NA
contig_72365	5754	No terminal repeats	7	11	0.9215	NA	0	0.0000	NA	NA
contig_92105	6769	No terminal repeats	7	11	0.9215	NA	0	0.0000	NA	NA
contig_115488	10238	No terminal repeats	10	11	0.9215	NA	0	0.0000	NA	NA
contig_95450	15475	No terminal repeats	21	11	0.9213	NA	0	0.0000	NA	NA
contig_117814	16127	No terminal repeats	14	11	0.9213	NA	0	0.0000	NA	NA
contig_122448	7746	No terminal repeats	8	11	0.9213	NA	0	0.0000	NA	NA
contig_125530	21901	No terminal repeats	25	11	0.9213	NA	0	0.0000	NA	NA
contig_76343	16744	No terminal repeats	16	11	0.9212	NA	0	0.0000	NA	NA
contig_74403	11006	No terminal repeats	6	11	0.9212	NA	0	0.0000	NA	NA
contig_80714	4039	No terminal repeats	4	11	0.9211	NA	0	0.0000	NA	NA
contig_80546	3380	No terminal repeats	5	11	0.9211	NA	0	0.0000	NA	NA
contig_108484	4346	No terminal repeats	8	11	0.9211	NA	0	0.0000	NA	NA
contig_118522	19691	No terminal repeats	23	11	0.9209	NA	0	0.0000	NA	NA
contig_81944	3748	No terminal repeats	4	11	0.9207	NA	0	0.0000	NA	NA
contig_119277	3539	No terminal repeats	4	11	0.9206	NA	0	2.5570	NA	NA
contig_120188	23238	No terminal repeats	31	11	0.9204	NA	0	0.0000	NA	NA
contig_91041	6434	No terminal repeats	9	11	0.9203	NA	0	0.0000	NA	NA
contig_96843	4242	No terminal repeats	6	11	0.9202	NA	0	0.0000	NA	NA
contig_122886	10519	No terminal repeats	11	11	0.9201	NA	0	0.0000	NA	NA
contig_81321	5619	No terminal repeats	9	11	0.9201	NA	0	0.0000	NA	NA
contig_114335	17374	No terminal repeats	18	11	0.9200	NA	1	1.9385	NA	NA
contig_106319	18761	No terminal repeats	23	11	0.9199	NA	0	0.0000	NA	NA
contig_107477	4911	No terminal repeats	6	11	0.9199	NA	0	0.0000	NA	NA
contig_29933	4901	No terminal repeats	11	11	0.9197	NA	0	0.0000	NA	NA
contig_103348	7973	No terminal repeats	6	11	0.9197	NA	0	0.0000	NA	NA
contig_114790	3605	No terminal repeats	6	11	0.9197	NA	0	0.0000	NA	NA
contig_127837	3034	No terminal repeats	5	11	0.9197	NA	0	0.0000	NA	NA
contig_125382	9988	No terminal repeats	10	11	0.9197	NA	0	0.0000	NA	NA
contig_92970	9459	No terminal repeats	12	11	0.9196	NA	0	0.0000	NA	NA
contig_116899	16780	No terminal repeats	25	11	0.9195	NA	0	2.0926	NA	NA
contig_125828	26797	No terminal repeats	34	11	0.9195	NA	0	0.6911	NA	NF012174
contig_110776	4242	No terminal repeats	6	11	0.9195	NA	0	0.0000	NA	NA
contig_104615	7972	No terminal repeats	12	11	0.9195	NA	0	0.0000	NA	NA
contig_76765	4438	No terminal repeats	4	11	0.9194	NA	0	0.0000	NA	NA
contig_127345	3577	No terminal repeats	7	11	0.9193	NA	0	0.0000	NA	NA
contig_104778	25035	No terminal repeats	25	11	0.9192	NA	0	0.0000	NA	NA
contig_113594	5442	DTR	8	11	0.9192	NA	0	0.0000	NA	NA
contig_27942	4239	No terminal repeats	6	11	0.9192	NA	0	0.0000	NA	NA
contig_73041	6810	No terminal repeats	6	11	0.9192	NA	0	0.0000	NA	NA
contig_68131	7905	No terminal repeats	6	11	0.9192	NA	0	0.0000	NA	NA
contig_77673	14457	No terminal repeats	11	11	0.9192	NA	0	0.0000	NA	NA
contig_114295	14864	No terminal repeats	14	11	0.9192	NA	0	0.0000	NA	NA
contig_88818	5639	DTR	9	11	0.9191	NA	0	0.0000	NA	NA
contig_115453	8815	No terminal repeats	8	11	0.9191	NA	0	0.0000	NA	NA
contig_87866	10539	No terminal repeats	23	11	0.9191	NA	0	0.0000	NA	NA
contig_86499	23766	No terminal repeats	29	11	0.9190	NA	0	0.0000	NA	NA
contig_126659	6661	No terminal repeats	5	11	0.9190	NA	0	0.1664	NA	NA
contig_74785	4777	No terminal repeats	6	11	0.9189	NA	0	0.0000	NA	NA
contig_99312	7436	No terminal repeats	10	11	0.9189	NA	0	0.0000	NA	NA
contig_54923	7503	No terminal repeats	10	11	0.9189	NA	0	0.0000	NA	NA
contig_88677	7453	No terminal repeats	10	11	0.9188	NA	0	0.0000	NA	NA
contig_92831	14219	No terminal repeats	15	11	0.9187	NA	0	0.0000	NA	NA
contig_104900	4331	No terminal repeats	11	11	0.9186	NA	0	0.0000	NA	NA
contig_123220	3594	No terminal repeats	4	11	0.9186	NA	0	0.0000	NA	NA
contig_126471	4162	No terminal repeats	3	11	0.9184	NA	0	0.0000	NA	NA
contig_99232	12945	No terminal repeats	15	11	0.9183	NA	0	0.0000	NA	NA
contig_101036	7754	No terminal repeats	7	11	0.9182	NA	0	0.0000	NA	NA
contig_111577	7104	No terminal repeats	10	11	0.9181	NA	0	0.0000	NA	NA
contig_131914	6321	No terminal repeats	7	11	0.9179	NA	0	0.0000	NA	NA
contig_104061	3152	No terminal repeats	8	11	0.9178	NA	0	0.0000	NA	NA
contig_101786	3714	No terminal repeats	6	11	0.9178	NA	0	0.0000	NA	NA
contig_98203	31342	No terminal repeats	26	11	0.9178	NA	0	2.3987	NA	NA
contig_122559	22493	No terminal repeats	21	11	0.9178	NA	0	0.0000	NA	NA
contig_96621	5548	No terminal repeats	9	11	0.9176	NA	0	0.7615	NA	NA
contig_115286	5637	No terminal repeats	10	11	0.9176	NA	0	0.0000	NA	NA
