seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
contig_117128	6034	No terminal repeats	NA	10	15	0.9835	NA	1	16.9706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_119147	4900	No terminal repeats	NA	10	11	0.9835	NA	2	16.0291	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66328	7704	No terminal repeats	NA	13	11	0.9835	NA	1	19.4897	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_107104	10707	No terminal repeats	NA	14	11	0.9835	NA	1	21.7060	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_108467	13372	No terminal repeats	NA	23	11	0.9835	NA	5	33.3610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_122878	11777	No terminal repeats	NA	24	11	0.9835	NA	1	33.6272	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_106213	5699	No terminal repeats	NA	14	11	0.9835	NA	1	22.0286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_84788	11088	No terminal repeats	NA	9	11	0.9835	NA	1	13.6271	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_84257	15318	No terminal repeats	NA	23	11	0.9835	NA	5	37.8224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83171	12805	No terminal repeats	NA	17	11	0.9835	NA	4	23.1063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53622	25283	No terminal repeats	NA	25	11	0.9835	NA	3	38.8827	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_80486	12550	No terminal repeats	NA	20	11	0.9835	NA	1	28.0299	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_99759	25959	No terminal repeats	NA	51	11	0.9835	NA	5	75.1582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_61451	18478	No terminal repeats	NA	32	11	0.9835	NA	7	52.5707	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_105207	23817	No terminal repeats	NA	36	11	0.9835	NA	3	54.3628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_91335	15127	No terminal repeats	NA	21	11	0.9835	NA	4	31.8662	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_85909	11895	No terminal repeats	NA	17	11	0.9835	NA	0	26.0930	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_113696	13759	No terminal repeats	NA	18	11	0.9835	NA	4	28.7711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_71478	11587	No terminal repeats	NA	20	11	0.9835	NA	4	30.3545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_68746	4465	No terminal repeats	NA	9	11	0.9835	NA	0	13.5822	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66361	30722	No terminal repeats	NA	39	11	0.9835	NA	2	60.7761	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_81925	3820	No terminal repeats	NA	11	11	0.9835	NA	3	18.2289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_135600	10475	No terminal repeats	NA	19	11	0.9835	NA	4	27.6948	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_99302	26591	No terminal repeats	NA	40	11	0.9835	NA	6	58.5677	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_57710	3681	No terminal repeats	NA	8	11	0.9835	NA	0	13.6337	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_82062	7869	No terminal repeats	NA	12	11	0.9835	NA	4	18.1769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_117873	13708	No terminal repeats	NA	26	11	0.9835	NA	2	36.2667	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_78255	5308	No terminal repeats	NA	8	11	0.9834	NA	3	11.8129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66457	11141	No terminal repeats	NA	16	11	0.9834	NA	2	25.7640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_127239	23035	No terminal repeats	NA	39	11	0.9834	NA	7	56.3229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_117730	4628	No terminal repeats	NA	9	11	0.9834	NA	4	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_95437	5947	No terminal repeats	NA	14	11	0.9834	NA	3	21.0121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_63805	17799	No terminal repeats	NA	26	11	0.9834	NA	4	34.0339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_90479	7059	No terminal repeats	NA	17	11	0.9834	NA	1	23.4316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53629	31765	No terminal repeats	NA	36	11	0.9834	NA	3	50.5845	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_127570	4638	No terminal repeats	NA	8	11	0.9834	NA	0	12.0226	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_85627	18672	No terminal repeats	NA	25	11	0.9834	NA	3	39.1003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_65642	17101	No terminal repeats	NA	33	11	0.9834	NA	3	45.4676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66711	7322	No terminal repeats	NA	15	11	0.9834	NA	2	25.1708	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_105704	3836	No terminal repeats	NA	8	11	0.9834	NA	2	13.5203	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_119940	12697	No terminal repeats	NA	14	11	0.9834	NA	0	23.2195	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_68177	6336	No terminal repeats	NA	20	11	0.9834	NA	0	30.0411	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_124592	3111	No terminal repeats	NA	7	11	0.9834	NA	0	10.9390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_85826	9895	No terminal repeats	NA	12	11	0.9834	NA	1	18.5755	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_133897	21138	No terminal repeats	NA	25	11	0.9834	NA	7	37.7440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_125162	14462	No terminal repeats	NA	26	11	0.9834	NA	3	32.8539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_78864	6127	No terminal repeats	NA	11	11	0.9834	NA	1	16.9526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_87383	7787	No terminal repeats	NA	11	11	0.9834	NA	1	16.4928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_78256	20071	No terminal repeats	NA	27	11	0.9834	NA	6	45.1558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_116972	17431	No terminal repeats	NA	23	11	0.9834	NA	3	34.8940	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_64156	6833	No terminal repeats	NA	22	11	0.9834	NA	3	27.9393	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_135495	18564	No terminal repeats	NA	27	11	0.9834	NA	1	41.7748	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_54920	6927	No terminal repeats	NA	11	11	0.9834	NA	0	15.2705	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_133748	17529	No terminal repeats	NA	29	11	0.9834	NA	3	45.2043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66710	8613	No terminal repeats	NA	18	11	0.9834	NA	2	27.9152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_81688	17588	No terminal repeats	NA	31	11	0.9834	NA	4	46.1589	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132897	5413	No terminal repeats	NA	12	11	0.9834	NA	6	17.3909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_116168	6362	No terminal repeats	NA	9	11	0.9834	NA	0	13.6181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_79296	10889	No terminal repeats	NA	24	11	0.9834	NA	3	33.9920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83718	7456	No terminal repeats	NA	11	11	0.9834	NA	5	16.3733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132819	11190	No terminal repeats	NA	18	11	0.9834	NA	3	27.0469	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_76300	58086	No terminal repeats	NA	80	11	0.9834	NA	6	114.5781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_74988	23104	No terminal repeats	NA	38	11	0.9834	NA	1	49.6316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_105778	4224	No terminal repeats	NA	8	11	0.9834	NA	3	13.0917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_120850	7642	No terminal repeats	NA	18	11	0.9834	NA	1	22.5513	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_106116	12975	No terminal repeats	NA	25	11	0.9834	NA	1	35.5937	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83168	18375	No terminal repeats	NA	37	11	0.9834	NA	2	52.7232	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83583	5280	No terminal repeats	NA	6	11	0.9834	NA	1	10.2666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_107335	15549	No terminal repeats	NA	24	11	0.9833	NA	2	37.7290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_54008	6966	No terminal repeats	NA	7	15	0.9833	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_55156	19138	No terminal repeats	NA	35	11	0.9833	NA	2	50.8038	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_89574	18025	No terminal repeats	NA	33	11	0.9833	NA	6	43.0440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_123457	12916	No terminal repeats	NA	26	11	0.9833	NA	0	39.1085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_65962	12587	No terminal repeats	NA	15	11	0.9833	NA	1	20.2991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
contig_80877	3383	No terminal repeats	NA	8	11	0.9833	NA	1	11.2811	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_91061	30248	No terminal repeats	NA	46	11	0.9833	NA	5	61.1542	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_70685	21017	No terminal repeats	NA	34	11	0.9833	NA	0	43.6473	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_57273	15193	No terminal repeats	NA	22	11	0.9833	NA	0	31.4674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_122457	13408	No terminal repeats	NA	24	11	0.9833	NA	5	32.2757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132401	8516	No terminal repeats	NA	13	11	0.9833	NA	7	21.2416	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_119977	11910	No terminal repeats	NA	15	11	0.9833	NA	0	23.9644	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae
contig_94410	11975	No terminal repeats	NA	18	11	0.9833	NA	3	24.8901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_57709	5956	No terminal repeats	NA	9	11	0.9833	NA	1	13.7323	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_57703	10438	No terminal repeats	NA	21	11	0.9833	NA	1	30.9200	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_135032	21267	No terminal repeats	NA	26	11	0.9833	NA	3	36.6410	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53630	27373	No terminal repeats	NA	31	11	0.9833	NA	3	42.1005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53803	13479	No terminal repeats	NA	23	11	0.9833	NA	2	29.1963	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_133258	11259	No terminal repeats	NA	23	11	0.9833	NA	3	34.0555	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_133254	5535	No terminal repeats	NA	10	11	0.9833	NA	0	16.6928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60055	12328	No terminal repeats	NA	24	11	0.9833	NA	3	32.2128	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_112039	11902	No terminal repeats	NA	22	11	0.9833	NA	1	32.3476	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_63806	18365	No terminal repeats	NA	30	11	0.9833	NA	1	42.0146	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132560	17669	No terminal repeats	NA	30	11	0.9833	NA	3	40.0554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_136435	30829	No terminal repeats	NA	33	11	0.9833	NA	4	46.0287	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_75885	27128	No terminal repeats	NA	40	11	0.9833	NA	8	55.9974	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_124196	4819	No terminal repeats	NA	10	11	0.9833	NA	3	13.6559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_85574	4125	No terminal repeats	NA	7	11	0.9833	NA	0	9.5247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_96033	6284	No terminal repeats	NA	11	11	0.9833	NA	1	16.1233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60885	18218	No terminal repeats	NA	31	11	0.9833	NA	3	41.6116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_121433	5510	No terminal repeats	NA	14	11	0.9833	NA	2	19.9719	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_103889	14397	No terminal repeats	NA	22	11	0.9833	NA	9	32.6460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_81179	13801	No terminal repeats	NA	29	11	0.9833	NA	5	41.6420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_73719	16987	No terminal repeats	NA	27	11	0.9833	NA	0	34.3550	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_63794	9870	No terminal repeats	NA	16	11	0.9833	NA	0	21.3931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_96142	12433	No terminal repeats	NA	27	11	0.9833	NA	0	38.0664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66509	25446	No terminal repeats	NA	33	11	0.9833	NA	4	50.0193	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66035	5727	No terminal repeats	NA	11	11	0.9833	NA	0	16.2375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_62295	10619	No terminal repeats	NA	20	11	0.9833	NA	3	30.9230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_76212	12462	No terminal repeats	NA	26	11	0.9833	NA	3	33.6024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_80474	8256	No terminal repeats	NA	13	11	0.9833	NA	0	19.0642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_100829	5548	No terminal repeats	NA	5	11	0.9833	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_72016	31091	No terminal repeats	NA	45	11	0.9833	NA	8	72.9610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_126987	23452	No terminal repeats	NA	46	11	0.9833	NA	3	63.9605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_62112	11306	No terminal repeats	NA	14	11	0.9833	NA	1	23.0101	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_67477	5501	No terminal repeats	NA	9	11	0.9833	NA	0	12.4260	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_77526	35669	No terminal repeats	NA	57	11	0.9833	NA	8	78.8224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_84981	7780	No terminal repeats	NA	13	11	0.9833	NA	1	18.2785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83261	32158	No terminal repeats	NA	51	11	0.9833	NA	3	61.4411	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_66031	37184	No terminal repeats	NA	67	11	0.9833	NA	4	88.6231	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_63630	8105	No terminal repeats	NA	7	11	0.9833	NA	0	10.2885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_122305	8211	No terminal repeats	NA	14	11	0.9833	NA	3	19.8257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
contig_92054	8227	No terminal repeats	NA	13	11	0.9833	NA	1	16.7137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_103746	34819	No terminal repeats	NA	53	11	0.9833	NA	5	74.2956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_127445	6930	No terminal repeats	NA	6	11	0.9833	NA	3	10.0763	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_80476	21506	No terminal repeats	NA	31	11	0.9833	NA	4	46.6071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_80475	20159	No terminal repeats	NA	28	11	0.9833	NA	1	40.0354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_101077	14164	No terminal repeats	NA	20	11	0.9833	NA	3	28.0543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_54484	25214	No terminal repeats	NA	49	11	0.9833	NA	7	64.9485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_127056	4664	No terminal repeats	NA	7	11	0.9833	NA	0	11.4259	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_70093	16696	No terminal repeats	NA	26	11	0.9833	NA	4	37.1735	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_61363	24776	No terminal repeats	NA	48	11	0.9833	NA	1	64.6863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132821	6512	No terminal repeats	NA	9	11	0.9833	NA	1	11.9530	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_92033	7098	No terminal repeats	NA	15	11	0.9833	NA	0	18.8979	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60891	14404	No terminal repeats	NA	22	11	0.9833	NA	1	30.3096	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_91966	7376	No terminal repeats	NA	16	11	0.9833	NA	0	23.4898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83259	14293	No terminal repeats	NA	30	11	0.9833	NA	3	36.6023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_115723	6637	No terminal repeats	NA	9	11	0.9833	NA	4	13.7302	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
contig_71851	12387	No terminal repeats	NA	17	11	0.9833	NA	1	24.0429	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53797	13847	No terminal repeats	NA	24	11	0.9833	NA	3	30.8388	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_70686	23989	No terminal repeats	NA	32	11	0.9832	NA	0	41.9526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60059	13912	No terminal repeats	NA	27	11	0.9832	NA	5	36.3231	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53628	11860	No terminal repeats	NA	12	15	0.9832	NA	0	15.4500	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_82296	13385	No terminal repeats	NA	12	11	0.9832	NA	1	16.9142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_87474	18053	No terminal repeats	NA	12	11	0.9832	NA	0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
contig_131968	6825	No terminal repeats	NA	9	11	0.9832	NA	0	11.9583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60890	21483	No terminal repeats	NA	32	11	0.9832	NA	3	44.8478	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_92899	5302	No terminal repeats	NA	13	11	0.9832	NA	3	18.7119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83205	7110	No terminal repeats	NA	18	11	0.9832	NA	0	29.7194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_126026	5189	No terminal repeats	NA	8	11	0.9832	NA	2	13.5012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
