contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_101034	23893	NA	57419.52632801161	41.611280217656564	high	2.48125772505169	2	DTR_274729	63.12	68.77	30.10704749729458	65.24504148045567	6	1.0
contig_101044	31291	NA	41309.54532411335	75.7476262556071	high	2.48125772505169	6	DTR_269451	67.22	68.71	62.42383856723764	82.10534872927992	20	1.0
contig_101047	4292	NA	46078.06297664519	9.314627661704039	medium	8.81450330814983	28	GCA_012939035.1	58.19	23.5	2.57	12.49	1	1.0
contig_101057	16315	NA	213633.29731192498	7.6369181233853	low	16.0886513846799	6	DTR_699621	47.71	7.86	6.953041101322834	13.19075489335184	3	1.0
contig_101058	4844	NA	118806.510032944	4.077217653019857	low	14.6384327283204	4	GCA_000901695.1	67.35	14.93	2.45	6.25	1	1.0
contig_101059	42381	NA	125770.17059457595	33.69717938653075	low	30.1053876760942	7	GCA_003502615.1	58.29	3.87	18.976095383516355	36.48858492618127	6	1.0
contig_101071	6593	NA	55834.077128699966	11.808200903550084	low	16.0458909824481	3	GCA_009708615.1	33.2	30.36	6.4338287449647344	13.903268598637533	4	1.0
contig_101074	10336	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	2.08
contig_101077	14164	NA	37760.00000000001	37.510593220338976	high	3.71484524843028	1	DTR_073925	61.99	40.53	13.949150558042703	36.60403491802302	4	1.0
contig_101079	4584	NA	34688.46380489958	13.21476795796455	high	4.71761886228158	13	DTR_630673	57.74	48.25	6.319300253803294	12.211499902383347	3	1.0
contig_101087	5782	NA	109318.566202034	5.289129011547921	low	13.0126738159548	8	GCA_902984435.1	45.7	22.57	NA	NA	0	1.0
contig_101088	13701	NA	96320.47250429545	14.224390354178338	high	2.65330960918192	3	DTR_888536	70.17	50.53	11.243444200627867	21.39346700757778	12	1.0
contig_101089	2092	NA	25904.31608060055	8.075874280914427	low	19.7445197918309	2	DTR_662583	39.2	22.22	2.3140569020021076	6.395331928345628	2	1.0
contig_101116	22180	NA	50350.46599453646	44.05123083152151	medium	5.94766695205479	80	DTR_578290	53.98	24.59	30.717003948041274	53.296760271148315	6	1.0
contig_101121	4237	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101122	5884	NA	230551.29456904228	2.552143552695577	low	22.5747580936448	6	345381	43.6	5.77	NA	NA	0	1.0
contig_101127	11040	NA	62825.6794152623	17.572432328233674	medium	5.0442578302315	26	DTR_271486	53.64	41.04	15.370644007155637	31.108157423971377	2	1.0
contig_101136	4169	NA	37455.62205300922	11.130505305985324	high	4.71761886228158	3	GCA_002584385.1	61.18	49.49	NA	NA	0	1.0
contig_101137	6062	NA	37445.84957431259	16.188710014362876	high	4.05454545454545	3	GCA_002584385.1	61.01	52.57	NA	NA	0	1.0
contig_101146	15430	NA	57870.44261234154	26.663006715468555	high	2.93397437213368	18	GCA_012955245.1	65.1	47.86	21.4301201134189	46.56642545352631	5	1.0
contig_101149	6633	NA	53277.38557873217	12.44993523602598	high	4.70087466957381	26	DTR_891150	57.71	43.94	6.562689257112038	9.999154004548629	5	1.0
contig_101177	2650	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.87
contig_101179	3311	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.67
contig_101216	7026	NA	NA	NA	NA	NA	0	NA	NA	NA	3.116808146825246	4.570116654633887	3	1.0
contig_101230	2667	NA	59555.0	4.478213416169927	medium	7.44864970773602	1	GCA_012955235.1	54.4	31.96	NA	NA	0	1.0
contig_101231	21883	NA	62834.784888938746	34.82625115798275	high	2.91968678857181	29	DTR_288754	63.54	54.45	26.496863224099254	55.24182143084414	8	1.0
contig_101232	16416	NA	62273.049510528464	26.36132344414024	high	2.68855386238662	32	DTR_288754	67.13	67.04	19.778335182892004	44.31180667739968	9	1.0
contig_101234	4140	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101235	3745	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101236	3801	NA	6957.0	54.635618801207414	low	16.0736975857687	1	GCA_003498305.1	44.9	18.85	NA	NA	0	1.0
contig_101237	11667	NA	59231.44844685021	19.697306592914195	high	3.16996526820663	391	GCA_012955245.1	78.62	51.87	13.338955648590984	29.988510913497056	3	1.0
contig_101240	22166	NA	60192.50015165432	36.825185769245365	high	2.9270941310035	61	GCA_012955295.1	67.95	35.64	30.873029262487833	61.71951916942079	6	1.0
contig_101241	44489	NA	61414.080854016356	72.44104182842379	high	3.62635100360268	58	GCA_012949775.1	60.8	46.44	54.29633218433999	98.02652126479296	21	1.2
contig_101242	2924	NA	39050.03206273776	7.487829959530643	medium	6.50440235702245	11	GCA_002581215.1	51.0	45.92	1.3959580838323353	8.717934131736527	2	1.01
contig_101243	3533	NA	41716.9721194134	8.468975144904833	medium	8.28456428871274	10	DTR_287813	41.2	47.97	1.5619298245614035	9.8509649122807	2	1.0
contig_101254	56497	NA	62415.21508441897	90.51799296627536	high	2.31851246252856	53	GCA_009806795.1	65.56	30.34	70.13211323834437	98.96084699437229	25	1.0
contig_101257	4064	NA	48460.31594568872	8.386243301745445	medium	8.16402444995913	12	DTR_893272	49.0	45.04	3.19	10.46	1	1.0
contig_101258	2917	NA	64424.245259672745	4.527798483695915	high	4.62276493676406	13	GCA_009806795.1	66.97	56.65	1.73	6.8	1	1.0
contig_101264	4085	NA	63138.857067379184	6.469866877128702	high	4.70087466957381	35	GCA_009806795.1	60.31	45.43	2.548496583143508	7.433006833712984	2	1.0
contig_101271	17907	NA	62399.99849271315	28.697116077801052	medium	5.66866012941001	15	GCA_012936115.1	54.89	27.84	23.110473452516256	43.946061093415935	5	1.01
contig_101273	20873	NA	62132.823550196554	33.59415974897212	high	3.50764538267047	33	GCA_012955135.1	60.96	63.65	26.335945200338088	51.9479694926683	11	1.0
contig_101275	8608	NA	59837.79191651741	14.385557562032764	low	10.6099941554355	7	GCA_012954955.1	78.11	14.78	10.511996779388083	22.72927536231884	2	1.0
contig_101340	5109	NA	139254.47625563887	3.6688228180335565	low	13.1645631304517	191	GCA_020474765.1	70.2	14.62	1.8959875996457043	7.337502214348981	2	1.19
contig_101344	38990	NA	56893.123676536336	68.53200787792237	high	2.39106748368136	7	GCA_012940445.1	70.3	22.26	61.30059461122029	97.04174974521734	15	1.0
contig_101355	6512	NA	38993.0	16.700433411125072	high	2.33577330551957	1	DTR_890541	98.91	53.48	13.119608540925267	19.27516014234875	2	1.0
contig_101392	10657	NA	175094.82477174024	6.086416325492681	low	10.2824914415191	25	GCA_015645005.1	47.65	20.38	4.729738912773828	8.345622197028478	6	1.0
contig_101393	15055	NA	154788.5394740698	9.726172267761473	medium	6.39987964495261	4	GCA_000905255.1	50.55	44.89	6.489424695920761	12.18733837985276	8	1.0
contig_101394	5715	NA	144801.38923473776	3.9467853383197897	low	11.6380162023316	2	GCA_000905255.1	45.2	29.1	1.61	5.96	1	1.0
contig_101395	5100	NA	82905.47795587667	6.151583858806391	low	15.4714335542146	4	GCA_012943935.1	58.8	14.83	NA	NA	0	1.0
contig_101397	6064	NA	153823.55696202532	3.9421790262573566	low	13.0126738159548	2	GCA_000905255.1	42.83	22.88	2.71	3.8700000000000006	1	1.0
contig_101426	5861	NA	56456.34353136297	10.381472892845181	high	4.70087466957381	3	DTR_321439	61.9	45.32	3.5000000000000004	14.67	1	1.0
contig_101429	4582	NA	55069.0	8.320470682235014	high	3.23655913978495	1	DTR_893585	70.64	33.7	3.25	11.2	1	1.01
contig_101430	3654	NA	55069.0	6.635312063048176	high	3.4998469111378	1	DTR_893585	76.92	36.28	NA	NA	0	1.01
contig_101440	8703	NA	98535.61584115679	8.832339378717206	low	27.4561384438116	4	DTR_891268	37.5	10.53	4.213019670388092	21.804471026049978	2	1.0
contig_101441	20219	NA	183245.98183259572	11.033802650292795	low	13.6499940552004	21	DTR_358156	38.89	16.6	NA	NA	0	1.0
contig_101459	61443	NA	58937.593027316056	100.0	high	3.69925979947683	12	DTR_269736	61.75	56.06	82.13140849344136	98.67598705102715	17	1.01
contig_101467	3072	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101469	7350	NA	56895.22393799721	12.918483294854099	low	18.451911776551	55	DTR_893586	52.27	13.85	3.2699999999999996	4.3	1	1.0
contig_101473	3893	NA	54760.7189792255	7.109110458313891	high	2.06588253619052	6	DTR_269763	77.17	82.9	NA	NA	0	1.0
contig_101583	8791	NA	77889.73049035751	11.286468632842807	low	26.9204150716114	31	DTR_631838	41.5	10.82	5.03	25.04	1	1.0
contig_101631	2923	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101637	17601	NA	35553.04636676824	49.50630620629971	medium	5.94766695205479	8	DTR_889706	53.89	22.98	27.23551078611422	50.70345650796494	4	1.0
contig_101647	9826	NA	NA	NA	NA	NA	0	NA	NA	NA	3.13	25.82	1	1.0
contig_101652	1905	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101654	3106	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.34
contig_101666	7679	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101674	10403	NA	189548.01530856016	5.4883191380639005	medium	6.43765355791306	8	GCA_000890375.1	54.89	55.98	4.879223553356187	6.970894347178489	4	1.0
contig_101695	38836	NA	61588.94169965702	63.05677436281759	high	2.4389627654233	20	DTR_333947	83.07	63.41	39.94193049932282	65.39753234332403	10	1.0
contig_101709	8713	NA	60590.9325184934	14.380039451184617	high	3.15492389880052	162	DTR_289513	67.05	63.76	4.465697343565062	13.267719730045384	3	1.0
contig_101789	11253	NA	53175.802014992776	21.161881106799754	medium	6.1342758208282	23	DTR_893781	56.89	26.94	10.600420991687056	31.15386681778323	3	1.0
contig_10179	2856	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_101790	43119	NA	41164.051489474194	100.0	low	38.9899555618787	15	DTR_890688	78.2	7.83	58.81314998174163	99.74432097617257	15	1.0
contig_101796	15534	NA	63521.92198665334	24.45454972735848	medium	6.24746001181943	16	DTR_333947	48.42	78.68	15.961070190076125	41.63491587252623	3	1.0
contig_101815	15965	NA	37917.0	42.10512435055516	high	3.10918001323662	1	DTR_316488	78.62	47.03	9.912441576984714	42.44386917193873	3	1.0
contig_101845	6446	NA	159245.68311472327	4.047833431915509	low	16.354663036079	13	GCA_000905255.1	39.2	17.73	3.110233672857999	3.966584781306172	3	1.0
contig_101876	4298	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.8
contig_101898	6148	NA	43398.44276468955	14.16640692232907	medium	9.60676095205243	54	GCA_012953965.1	56.06	25.09	9.927366412213741	20.187137404580152	2	1.0
contig_101903	17675	NA	43793.13003095975	40.360211721575006	low	26.8672114679771	2	DTR_630936	41.7	1.96	9.28	51.66	1	1.03
contig_101911	7439	NA	39828.0	18.677814602792004	low	29.1005291005291	1	GCA_012949195.1	24.7	25.23	2.37	19.55	1	1.05
contig_101913	5101	NA	NA	NA	NA	NA	0	NA	NA	NA	3.55	13.41	1	1.0
contig_101927	4599	NA	NA	NA	NA	NA	0	NA	NA	NA	3.75	11.34	1	1.07
contig_101937	2993	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	11.09
contig_101946	8776	NA	51842.273689343114	16.928269876025954	low	15.7472323702244	38	DTR_269736	39.15	21.5	10.206667845505423	23.632545869488	5	1.02
contig_101988	5080	NA	205622.0	2.470552761864003	medium	5.88604635628883	1	GCA_000906035.1	36.2	75.38	NA	NA	0	1.04
contig_102027	3764	NA	61308.220366393594	6.139470331230256	low	11.6380162023316	11	1002184	46.68	27.68	4.596951219512195	9.352195121951219	2	1.0
contig_102038	45571	NA	63034.3889223945	72.29545773197746	high	2.3383008728132	43	DTR_289513	61.13	29.19	39.126921528523354	70.51211793531462	11	1.0
contig_102065	19900	NA	48352.63532655592	41.155978088066384	low	22.3998188181985	30	3300032309|Ga0335291_10922413	53.3	4.19	4.7595869947275915	21.14785588752197	2	1.03
contig_102066	1015	NA	NA	NA	NA	NA	0	NA	NA	NA	0.45	2.61	1	1.05
contig_102067	20348	NA	72286.7341019788	28.149009984728288	low	27.441312952095	20	GCA_001602085.1	25.0	12.08	8.01616982002769	51.55157360406093	2	1.02
contig_102068	5447	NA	371442.3957735374	1.4664454197955772	low	14.2776536177134	3	GCA_001602085.1	27.3	57.89	NA	NA	0	1.01
contig_102069	21727	NA	143205.39212224405	15.171914742884288	low	27.441312952095	12	GCA_001602085.1	24.7	12.32	10.140479309209255	42.047191883614154	4	1.01
contig_102070	16524	NA	294498.63863759424	5.610891811399575	low	16.7308326916731	6	GCA_001602085.1	27.7	15.69	4.689189952236382	27.929297275346627	3	1.1
contig_102072	9260	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.01
contig_102074	13335	NA	44773.163281894216	29.783466305568208	low	26.9204150716114	8	DTR_238503	37.9	8.45	6.297836672122627	23.52958613236153	3	1.01
contig_102119	8681	NA	NA	NA	NA	NA	0	NA	NA	NA	2.41	20.4	1	1.02
contig_102131	5312	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_102136	4681	NA	63299.3609582344	7.395019363763521	high	4.70087466957381	5	GCA_012936115.1	60.85	45.35	6.65	13.43	1	1.0
contig_102141	40306	NA	109211.02030962503	36.90653185523598	high	2.27943094488031	2	DTR_231048	69.53	26.17	23.14566516706075	96.34319590566646	8	1.01
contig_102155	4229	NA	61612.364206792634	6.863882038037037	high	2.01777187858933	66	GCA_012943555.1	75.17	100.0	6.0232601579675356	10.497394730613204	5	1.0
contig_102156	10133	NA	64094.81159058541	15.80939197501033	high	4.01951099036799	35	GCA_012942555.1	58.64	58.91	5.845091434071223	23.28808469682387	2	1.0
contig_102170	17894	NA	61338.338386022464	29.172619394068253	low	23.4841469330158	165	DTR_523950	51.6	5.72	6.373801478352693	36.99040126715944	2	1.02
contig_102176	74497	NA	322581.23042682844	23.094028099969773	low	34.5701557787554	27	GCA_902983795.1	45.31	4.32	23.403036283110833	43.256190576574234	12	1.0
contig_102183	9830	NA	42489.817015786284	23.134954891304545	low	21.9565771667288	3	DTR_893580	54.2	4.05	11.965686486486488	29.098291891891893	2	1.0
contig_102204	5544	NA	171653.82236303238	3.229756217298173	high	3.79209612522736	44	GCA_020474765.1	79.2	20.91	2.47	3.25	1	1.0
contig_102234	24959	NA	52219.09610901221	47.79669098043323	high	3.20422527847637	9	DTR_227021	78.31	40.84	19.99918112391224	68.17905402290864	5	1.0
contig_102251	2539	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_102261	5105	NA	NA	NA	NA	NA	0	NA	NA	NA	2.2765584415584414	4.781818181818183	2	1.0
contig_102301	17064	NA	55673.66468858505	30.65003910816506	high	2.48125772505169	12	DTR_289765	64.68	67.61	25.443974237218963	43.867573651792746	7	1.0
contig_102302	6386	NA	43753.816825128764	14.59529810970087	low	10.4596183917162	24	DTR_890308	66.3	18.79	3.6400000000000006	20.92	1	1.0
contig_102350	5780	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	3.07
contig_102361	5127	NA	64351.13555201156	7.967225373756026	low	11.1328258931633	12	DTR_271486	49.98	26.9	2.86	9.86	1	1.0
contig_10240	33443	NA	59656.12632876438	56.05962381079845	high	2.58362145412154	220	GCA_012955295.1	71.24	41.22	42.287160796014895	79.04843499661749	10	1.03
contig_102455	4973	NA	40813.296888317826	12.184754428460408	low	11.8740654837217	9	GCA_012949785.1	59.2	22.2	10.109275065628209	14.670425608363583	3	1.0
contig_102459	22435	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	2.28
contig_102464	6299	NA	61178.0	10.296184903069731	medium	8.16402444995913	1	GCA_012950605.1	49.74	43.12	6.837322404371585	9.605928961748635	2	1.0
contig_102468	16417	NA	193112.64220444718	8.501255957452761	low	27.4427620025844	7	DTR_662583	34.4	3.63	7.8500300445232805	25.862628948218035	4	1.05
contig_102481	11703	NA	138040.9882048269	8.477916705895314	low	26.9204150716114	6	DTR_233419	41.6	11.31	NA	NA	0	1.0
contig_102515	2517	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_102563	5310	NA	53959.689039250574	9.840679393347648	high	4.02098899218616	5	DTR_892205	69.29	30.11	3.5	15.9	1	1.0
contig_102580	8163	NA	36609.71323700699	22.2973612143687	high	3.89274308996807	10	GCA_002584195.1	81.34	23.82	13.23066596637832	23.227129843388873	5	1.0
contig_102680	13513	NA	209980.81825885054	6.435349720059697	low	11.345462708111	9	DTR_296179	36.57	30.89	7.773879603163702	10.853609747427894	5	1.0
contig_102724	21572	NA	33206.21850679143	64.96373561954377	medium	8.40707262595249	44	DTR_232814	35.77	32.97	31.425504453500572	49.82389623452102	15	1.0
contig_102730	3572	NA	71319.0	5.008483012941853	low	14.1538084617084	1	GCA_012942555.1	88.5	8.36	NA	NA	0	1.0
contig_102750	3994	NA	40200.47496656773	9.935205997743969	high	3.50076971321056	5	DTR_283856	85.16	31.3	3.19	12.51	1	1.0
