contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
contig_101087	5782	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101088	13701	20	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101089	2092	4	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101116	22180	33	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101121	4237	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101122	5884	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101127	11040	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101136	4169	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101137	6062	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101146	15430	30	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101149	6633	12	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101177	2650	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101179	3311	5	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101216	7026	15	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101230	2667	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101231	21883	44	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101232	16416	38	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101234	4140	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101235	3745	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101236	3801	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101237	11667	18	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101240	22166	33	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101241	44489	66	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101242	2924	5	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101243	3533	3	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101254	56497	114	34	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101257	4064	3	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101258	2917	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101264	4085	9	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101271	17907	33	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101273	20873	31	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101275	8608	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101340	5109	9	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101344	38990	81	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101355	6512	6	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101392	10657	30	6	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101393	15055	41	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101394	5715	16	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101395	5100	14	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101397	6064	18	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101426	5861	10	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101429	4582	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101430	3654	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101440	8703	18	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101441	20219	32	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101459	61443	72	17	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101467	3072	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101469	7350	19	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101473	3893	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101583	8791	7	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101631	2923	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101637	17601	29	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101647	9826	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101652	1905	1	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101654	3106	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101666	7679	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101674	10403	16	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101695	38836	48	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101709	8713	16	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101789	11253	31	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_10179	2856	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101790	43119	87	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101796	15534	13	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101815	15965	48	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101845	6446	10	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101876	4298	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101898	6148	19	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101903	17675	23	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101911	7439	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101913	5101	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101927	4599	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101937	2993	20	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101946	8776	11	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101988	5080	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102027	3764	12	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102038	45571	77	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102065	19900	27	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102066	1015	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102067	20348	28	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102068	5447	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102069	21727	28	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102070	16524	28	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102072	9260	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102074	13335	21	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102119	8681	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102131	5312	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102136	4681	12	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102141	40306	74	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102155	4229	5	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102156	10133	24	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102170	17894	22	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102176	74497	168	17	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102183	9830	14	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102204	5544	12	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102234	24959	66	6	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102251	2539	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102261	5105	7	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102301	17064	24	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102302	6386	17	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102350	5780	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102361	5127	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_10240	33443	45	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102455	4973	9	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102459	22435	21	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102464	6299	7	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102468	16417	25	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102481	11703	18	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102515	2517	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102563	5310	25	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102580	8163	20	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102680	13513	23	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102724	21572	32	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102730	3572	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102750	3994	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102752	17467	38	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102785	3434	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102835	14832	30	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102841	6993	12	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102877	21214	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102896	20150	38	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102911	30688	74	7	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102918	8683	16	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102927	3933	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102928	4230	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102929	4207	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102930	5655	7	1	2	Yes	1365	4290	host,viral	4290,1365	1-4290,4291-5655	1-5,6-7	0,1	2,0
contig_102931	8534	10	1	4	Yes	1721	6813	host,viral	6813,1721	1-6813,6814-8534	1-8,9-10	0,1	4,0
contig_102967	19595	25	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_102998	3255	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103001	6681	17	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103019	32625	57	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103022	3954	5	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103025	3922	5	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103048	6368	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103057	3252	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103108	11682	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103117	13769	24	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103119	10371	17	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103145	12834	28	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103162	4711	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103163	8441	18	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103171	10116	17	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103192	12945	14	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103203	6639	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103213	2604	3	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103214	13845	15	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103215	857	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103235	8324	19	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103251	6218	12	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103264	8857	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103316	4757	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103358	3338	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103371	4917	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103373	7571	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103384	16049	32	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103440	66455	150	42	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103465	3709	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103499	7273	27	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103500	15590	23	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103501	6074	10	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103548	18337	36	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_10359	3294	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103626	24133	31	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103659	8537	17	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103716	7898	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103746	34819	53	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103771	60001	108	38	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103787	6061	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103788	9914	22	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103789	3614	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103821	3603	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103826	3309	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103842	3880	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103861	31227	80	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103862	20673	45	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103863	3234	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103864	5181	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103865	7826	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103866	18882	44	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103867	3743	8	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103868	13655	33	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103869	9356	16	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103877	14334	22	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103889	14397	22	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103930	24704	40	17	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103938	11659	19	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103950	12083	15	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103951	56648	85	28	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103974	77641	130	10	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103977	6774	21	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_103989	3066	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104025	58885	87	3	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104030	3108	1	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104047	5599	8	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104065	5371	16	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104068	9311	10	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104074	3285	4	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104098	7776	19	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104180	12266	18	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104195	8770	16	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104207	19467	25	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104208	8699	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104226	4392	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104241	9782	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104244	5770	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104260	74001	132	52	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104292	7939	11	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104314	49454	41	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104322	12572	19	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104323	12174	18	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104363	13682	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104365	3303	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104375	3527	10	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104417	3249	8	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104418	3932	6	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104423	6555	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104466	21062	42	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104474	17510	35	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104483	4251	11	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104491	146666	309	87	4	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104492	6545	12	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104522	3239	3	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104530	9508	20	3	2	Yes	5394	4114	viral,host	5394,4114	1-5394,5395-9508	1-14,15-20	3,0	0,2
contig_104537	121519	179	36	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104546	10093	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104548	5766	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104605	11986	20	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104618	14776	32	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104632	7725	20	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104676	2657	4	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104688	2852	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104752	25530	19	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104755	11544	25	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104758	35420	45	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104761	5956	9	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104782	2031	3	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104815	66935	137	2	11	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104818	9463	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104879	2569	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104886	7433	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104896	11567	20	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104898	3290	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104918	11746	15	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104919	2867	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104931	10293	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104940	3857	10	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_104983	6687	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_105015	7730	18	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_105030	48079	63	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_105033	6673	16	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
