contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
contig_100807	7797	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100809	5402	No	NA	2	0	0	Low-quality	Genome-fragment	8.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_100810	4981	No	NA	8	3	0	Low-quality	Genome-fragment	12.31	AAI-based (medium-confidence)	0.0	1.0	
contig_100824	9738	No	NA	15	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.15	no viral genes detected
contig_100828	58980	No	NA	126	25	0	High-quality	High-quality	97.03	AAI-based (high-confidence)	0.0	1.0	
contig_100829	5548	No	NA	5	0	0	Low-quality	Genome-fragment	9.27	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_100840	4531	No	NA	11	0	0	Low-quality	Genome-fragment	7.22	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_100885	5409	No	NA	13	8	0	Low-quality	Genome-fragment	8.3	HMM-based (lower-bound)	0.0	1.0	
contig_100888	10683	No	NA	10	1	0	Low-quality	Genome-fragment	21.52	AAI-based (medium-confidence)	0.0	1.0	
contig_100889	4963	No	NA	6	0	0	Low-quality	Genome-fragment	9.72	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_100900	11573	No	NA	25	4	0	Low-quality	Genome-fragment	18.38	AAI-based (high-confidence)	0.0	1.0	
contig_101006	4237	No	NA	8	4	0	Low-quality	Genome-fragment	6.78	AAI-based (high-confidence)	0.0	1.0	
contig_101017	23374	No	NA	32	4	0	Low-quality	Genome-fragment	30.72	HMM-based (lower-bound)	0.0	1.0	
contig_101020	14500	No	NA	22	2	1	Low-quality	Genome-fragment	1.17	HMM-based (lower-bound)	0.0	1.09	
contig_101034	23893	No	NA	25	6	0	Low-quality	Genome-fragment	41.61	AAI-based (high-confidence)	0.0	1.0	
contig_101044	31291	No	NA	52	25	0	Medium-quality	Genome-fragment	75.75	AAI-based (high-confidence)	0.0	1.0	
contig_101047	4292	No	NA	10	2	0	Low-quality	Genome-fragment	9.31	AAI-based (medium-confidence)	0.0	1.0	
contig_101057	16315	No	NA	40	3	0	Low-quality	Genome-fragment	6.95	HMM-based (lower-bound)	0.0	1.0	
contig_101058	4844	No	NA	12	1	0	Low-quality	Genome-fragment	2.45	HMM-based (lower-bound)	0.0	1.0	
contig_101059	42381	No	NA	79	7	0	Low-quality	Genome-fragment	18.98	HMM-based (lower-bound)	0.0	1.0	
contig_101071	6593	No	NA	12	4	0	Low-quality	Genome-fragment	6.43	HMM-based (lower-bound)	0.0	1.0	
contig_101074	10336	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	2.08	no viral genes detected; high kmer_freq may indicate large duplication
contig_101077	14164	No	NA	20	4	0	Low-quality	Genome-fragment	37.51	AAI-based (high-confidence)	0.0	1.0	
contig_101079	4584	No	NA	12	3	1	Low-quality	Genome-fragment	13.21	AAI-based (high-confidence)	0.0	1.0	
contig_101087	5782	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101088	13701	No	NA	20	13	0	Low-quality	Genome-fragment	14.22	AAI-based (high-confidence)	0.0	1.0	
contig_101089	2092	No	NA	4	2	0	Low-quality	Genome-fragment	2.31	HMM-based (lower-bound)	0.0	1.0	
contig_101116	22180	No	NA	33	6	0	Low-quality	Genome-fragment	44.05	AAI-based (medium-confidence)	0.0	1.0	
contig_101121	4237	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101122	5884	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101127	11040	No	NA	19	2	0	Low-quality	Genome-fragment	17.57	AAI-based (medium-confidence)	0.0	1.0	
contig_101136	4169	No	NA	11	0	0	Low-quality	Genome-fragment	11.13	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_101137	6062	No	NA	14	0	0	Low-quality	Genome-fragment	16.19	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_101146	15430	No	NA	30	6	0	Low-quality	Genome-fragment	26.66	AAI-based (high-confidence)	0.0	1.0	
contig_101149	6633	No	NA	12	8	0	Low-quality	Genome-fragment	12.45	AAI-based (high-confidence)	0.0	1.0	
contig_101177	2650	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.87	no viral genes detected; high kmer_freq may indicate large duplication
contig_101179	3311	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.67	no viral genes detected; high kmer_freq may indicate large duplication
contig_101216	7026	No	NA	15	5	0	Low-quality	Genome-fragment	3.12	HMM-based (lower-bound)	0.0	1.0	
contig_101230	2667	No	NA	5	0	0	Low-quality	Genome-fragment	4.48	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_101231	21883	No	NA	44	9	0	Low-quality	Genome-fragment	34.83	AAI-based (high-confidence)	0.0	1.0	
contig_101232	16416	No	NA	38	9	0	Low-quality	Genome-fragment	26.36	AAI-based (high-confidence)	0.0	1.0	
contig_101234	4140	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101235	3745	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101236	3801	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101237	11667	No	NA	18	3	0	Low-quality	Genome-fragment	19.7	AAI-based (high-confidence)	0.0	1.0	
contig_101240	22166	No	NA	33	6	0	Low-quality	Genome-fragment	36.83	AAI-based (high-confidence)	0.0	1.0	
contig_101241	44489	No	NA	66	30	0	Medium-quality	Genome-fragment	72.44	AAI-based (high-confidence)	0.0	1.2	
contig_101242	2924	No	NA	5	2	0	Low-quality	Genome-fragment	7.49	AAI-based (medium-confidence)	0.0	1.01	
contig_101243	3533	No	NA	3	2	0	Low-quality	Genome-fragment	8.47	AAI-based (medium-confidence)	0.0	1.0	
contig_101254	56497	No	NA	114	34	0	High-quality	High-quality	90.52	AAI-based (high-confidence)	0.0	1.0	
contig_101257	4064	No	NA	3	1	0	Low-quality	Genome-fragment	8.39	AAI-based (medium-confidence)	0.0	1.0	
contig_101258	2917	No	NA	6	1	0	Low-quality	Genome-fragment	4.53	AAI-based (high-confidence)	0.0	1.0	
contig_101264	4085	No	NA	9	2	0	Low-quality	Genome-fragment	6.47	AAI-based (high-confidence)	0.0	1.0	
contig_101271	17907	No	NA	33	7	0	Low-quality	Genome-fragment	28.7	AAI-based (medium-confidence)	0.0	1.01	
contig_101273	20873	No	NA	31	13	0	Low-quality	Genome-fragment	33.59	AAI-based (high-confidence)	0.0	1.0	
contig_101275	8608	No	NA	19	2	0	Low-quality	Genome-fragment	10.51	HMM-based (lower-bound)	0.0	1.0	
contig_101340	5109	No	NA	9	4	0	Low-quality	Genome-fragment	1.9	HMM-based (lower-bound)	0.0	1.19	
contig_101344	38990	No	NA	81	19	0	Medium-quality	Genome-fragment	68.53	AAI-based (high-confidence)	0.0	1.0	
contig_101355	6512	No	NA	6	2	0	Low-quality	Genome-fragment	16.7	AAI-based (high-confidence)	0.0	1.0	
contig_101392	10657	No	NA	30	6	2	Low-quality	Genome-fragment	4.73	HMM-based (lower-bound)	0.0	1.0	
contig_101393	15055	No	NA	41	9	1	Low-quality	Genome-fragment	9.73	AAI-based (medium-confidence)	0.0	1.0	
contig_101394	5715	No	NA	16	1	0	Low-quality	Genome-fragment	1.61	HMM-based (lower-bound)	0.0	1.0	
contig_101395	5100	No	NA	14	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101397	6064	No	NA	18	1	0	Low-quality	Genome-fragment	2.71	HMM-based (lower-bound)	0.0	1.0	
contig_101426	5861	No	NA	10	1	0	Low-quality	Genome-fragment	10.38	AAI-based (high-confidence)	0.0	1.0	
contig_101429	4582	No	NA	12	1	0	Low-quality	Genome-fragment	8.32	AAI-based (high-confidence)	0.0	1.01	
contig_101430	3654	No	NA	9	0	0	Low-quality	Genome-fragment	6.64	AAI-based (high-confidence)	0.0	1.01	no viral genes detected
contig_101440	8703	No	NA	18	2	0	Low-quality	Genome-fragment	4.21	HMM-based (lower-bound)	0.0	1.0	
contig_101441	20219	No	NA	32	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101459	61443	No	NA	72	17	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
contig_101467	3072	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101469	7350	No	NA	19	3	0	Low-quality	Genome-fragment	3.27	HMM-based (lower-bound)	0.0	1.0	
contig_101473	3893	No	NA	4	0	0	Low-quality	Genome-fragment	7.11	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_101583	8791	No	NA	7	3	0	Low-quality	Genome-fragment	5.03	HMM-based (lower-bound)	0.0	1.0	
contig_101631	2923	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101637	17601	No	NA	29	4	0	Low-quality	Genome-fragment	49.51	AAI-based (medium-confidence)	0.0	1.0	
contig_101647	9826	No	NA	11	1	0	Low-quality	Genome-fragment	3.13	HMM-based (lower-bound)	0.0	1.0	
contig_101652	1905	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101654	3106	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.34	no viral genes detected
contig_101666	7679	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101674	10403	No	NA	16	9	0	Low-quality	Genome-fragment	5.49	AAI-based (medium-confidence)	0.0	1.0	
contig_101695	38836	No	NA	48	14	0	Medium-quality	Genome-fragment	63.06	AAI-based (high-confidence)	0.0	1.0	
contig_101709	8713	No	NA	16	6	0	Low-quality	Genome-fragment	14.38	AAI-based (high-confidence)	0.0	1.0	
contig_101789	11253	No	NA	31	3	0	Low-quality	Genome-fragment	21.16	AAI-based (medium-confidence)	0.0	1.0	
contig_10179	2856	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_101790	43119	No	NA	87	17	0	Medium-quality	Genome-fragment	58.81	HMM-based (lower-bound)	0.0	1.0	
contig_101796	15534	No	NA	13	3	1	Low-quality	Genome-fragment	24.45	AAI-based (medium-confidence)	0.0	1.0	
contig_101815	15965	No	NA	48	3	0	Low-quality	Genome-fragment	42.11	AAI-based (high-confidence)	0.0	1.0	
contig_101845	6446	No	NA	10	3	0	Low-quality	Genome-fragment	3.11	HMM-based (lower-bound)	0.0	1.0	
contig_101876	4298	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.8	no viral genes detected; high kmer_freq may indicate large duplication
contig_101898	6148	No	NA	19	3	0	Low-quality	Genome-fragment	14.17	AAI-based (medium-confidence)	0.0	1.0	
contig_101903	17675	No	NA	23	3	0	Low-quality	Genome-fragment	9.28	HMM-based (lower-bound)	0.0	1.03	
contig_101911	7439	No	NA	6	1	0	Low-quality	Genome-fragment	2.37	HMM-based (lower-bound)	0.0	1.05	
contig_101913	5101	No	NA	8	1	0	Low-quality	Genome-fragment	3.55	HMM-based (lower-bound)	0.0	1.0	
contig_101927	4599	No	NA	2	1	0	Low-quality	Genome-fragment	3.75	HMM-based (lower-bound)	0.0	1.07	
contig_101937	2993	No	NA	20	0	0	Not-determined	Genome-fragment	NA	NA	0.0	11.09	no viral genes detected; high kmer_freq may indicate large duplication; low-confidence DTR
contig_101946	8776	No	NA	11	6	0	Low-quality	Genome-fragment	10.21	HMM-based (lower-bound)	0.0	1.02	
contig_101988	5080	No	NA	2	1	0	Low-quality	Genome-fragment	2.47	AAI-based (medium-confidence)	0.0	1.04	
contig_102027	3764	No	NA	12	6	0	Low-quality	Genome-fragment	4.6	HMM-based (lower-bound)	0.0	1.0	
contig_102038	45571	No	NA	77	18	0	Medium-quality	Genome-fragment	72.3	AAI-based (high-confidence)	0.0	1.0	
contig_102065	19900	No	NA	27	2	0	Low-quality	Genome-fragment	4.76	HMM-based (lower-bound)	0.0	1.03	
contig_102066	1015	No	NA	2	1	0	Low-quality	Genome-fragment	0.45	HMM-based (lower-bound)	0.0	1.05	
contig_102067	20348	No	NA	28	3	0	Low-quality	Genome-fragment	8.02	HMM-based (lower-bound)	0.0	1.02	
contig_102068	5447	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
contig_102069	21727	No	NA	28	5	0	Low-quality	Genome-fragment	10.14	HMM-based (lower-bound)	0.0	1.01	
contig_102070	16524	No	NA	28	3	0	Low-quality	Genome-fragment	4.69	HMM-based (lower-bound)	0.0	1.1	
contig_102072	9260	No	NA	15	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
contig_102074	13335	No	NA	21	3	0	Low-quality	Genome-fragment	6.3	HMM-based (lower-bound)	0.0	1.01	
contig_102119	8681	No	NA	17	3	0	Low-quality	Genome-fragment	2.41	HMM-based (lower-bound)	0.0	1.02	
contig_102131	5312	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102136	4681	No	NA	12	3	0	Low-quality	Genome-fragment	7.4	AAI-based (high-confidence)	0.0	1.0	
contig_102141	40306	No	NA	74	9	1	Low-quality	Genome-fragment	36.91	AAI-based (high-confidence)	0.0	1.01	
contig_102155	4229	No	NA	5	5	0	Low-quality	Genome-fragment	6.86	AAI-based (high-confidence)	0.0	1.0	
contig_102156	10133	No	NA	24	2	0	Low-quality	Genome-fragment	15.81	AAI-based (high-confidence)	0.0	1.0	
contig_102170	17894	No	NA	22	2	0	Low-quality	Genome-fragment	6.37	HMM-based (lower-bound)	0.0	1.02	
contig_102176	74497	No	NA	168	17	2	Low-quality	Genome-fragment	23.4	HMM-based (lower-bound)	0.0	1.0	
contig_102183	9830	No	NA	14	2	0	Low-quality	Genome-fragment	11.97	HMM-based (lower-bound)	0.0	1.0	
contig_102204	5544	No	NA	12	2	0	Low-quality	Genome-fragment	3.23	AAI-based (high-confidence)	0.0	1.0	
contig_102234	24959	No	NA	66	6	1	Low-quality	Genome-fragment	47.8	AAI-based (high-confidence)	0.0	1.0	
contig_102251	2539	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102261	5105	No	NA	7	2	0	Low-quality	Genome-fragment	2.28	HMM-based (lower-bound)	0.0	1.0	
contig_102301	17064	No	NA	24	7	0	Low-quality	Genome-fragment	30.65	AAI-based (high-confidence)	0.0	1.0	
contig_102302	6386	No	NA	17	1	0	Low-quality	Genome-fragment	3.64	HMM-based (lower-bound)	0.0	1.0	
contig_102350	5780	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	3.07	no viral genes detected; high kmer_freq may indicate large duplication; low-confidence DTR
contig_102361	5127	No	NA	7	1	0	Low-quality	Genome-fragment	2.86	HMM-based (lower-bound)	0.0	1.0	
contig_10240	33443	No	NA	45	10	0	Medium-quality	Genome-fragment	56.06	AAI-based (high-confidence)	0.0	1.03	
contig_102455	4973	No	NA	9	3	0	Low-quality	Genome-fragment	10.11	HMM-based (lower-bound)	0.0	1.0	
contig_102459	22435	No	NA	21	0	0	Not-determined	Genome-fragment	NA	NA	0.0	2.28	no viral genes detected; high kmer_freq may indicate large duplication
contig_102464	6299	No	NA	7	2	0	Low-quality	Genome-fragment	10.3	AAI-based (medium-confidence)	0.0	1.0	
contig_102468	16417	No	NA	25	4	0	Low-quality	Genome-fragment	7.85	HMM-based (lower-bound)	0.0	1.05	
contig_102481	11703	No	NA	18	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102515	2517	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected; low-confidence ITR
contig_102563	5310	No	NA	25	1	0	Low-quality	Genome-fragment	9.84	AAI-based (high-confidence)	0.0	1.0	
contig_102580	8163	No	NA	20	6	0	Low-quality	Genome-fragment	22.3	AAI-based (high-confidence)	0.0	1.0	
contig_102680	13513	No	NA	23	5	0	Low-quality	Genome-fragment	7.77	HMM-based (lower-bound)	0.0	1.0	
contig_102724	21572	No	NA	32	15	0	Medium-quality	Genome-fragment	64.96	AAI-based (medium-confidence)	0.0	1.0	
contig_102730	3572	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102750	3994	No	NA	12	1	0	Low-quality	Genome-fragment	9.94	AAI-based (high-confidence)	0.0	1.0	
contig_102752	17467	No	NA	38	7	0	Low-quality	Genome-fragment	34.55	AAI-based (medium-confidence)	0.0	1.01	
contig_102785	3434	No	NA	6	1	0	Low-quality	Genome-fragment	4.73	HMM-based (lower-bound)	0.0	1.0	
contig_102835	14832	No	NA	30	5	0	Low-quality	Genome-fragment	33.51	AAI-based (medium-confidence)	0.0	1.0	
contig_102841	6993	No	NA	12	3	0	Low-quality	Genome-fragment	6.61	HMM-based (lower-bound)	0.0	1.0	
contig_102877	21214	No	NA	8	1	0	Medium-quality	Genome-fragment	50.4	AAI-based (high-confidence)	0.0	1.0	
contig_102896	20150	No	NA	38	7	0	Low-quality	Genome-fragment	34.43	AAI-based (medium-confidence)	0.0	1.0	
contig_102911	30688	No	NA	74	7	2	Low-quality	Genome-fragment	13.79	HMM-based (lower-bound)	0.0	1.0	
contig_102918	8683	No	NA	16	2	0	Low-quality	Genome-fragment	14.69	AAI-based (high-confidence)	0.0	1.0	
contig_102927	3933	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102928	4230	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102929	4207	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_102930	5655	Yes	1365	7	1	2	Low-quality	Genome-fragment	0.67	AAI-based (medium-confidence)	75.86	1.0	
contig_102931	8534	Yes	1721	10	1	4	Low-quality	Genome-fragment	0.84	AAI-based (medium-confidence)	79.83	1.0	
contig_102967	19595	No	NA	25	1	0	Low-quality	Genome-fragment	6.37	AAI-based (medium-confidence)	0.0	1.13	
contig_102998	3255	No	NA	6	1	0	Low-quality	Genome-fragment	5.61	AAI-based (high-confidence)	0.0	1.0	
contig_103001	6681	No	NA	17	0	0	Not-determined	Genome-fragment	NA	NA	0.0	2.63	no viral genes detected; high kmer_freq may indicate large duplication
contig_103019	32625	No	NA	57	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_103022	3954	No	NA	5	2	0	Low-quality	Genome-fragment	8.65	AAI-based (medium-confidence)	0.0	1.0	
contig_103025	3922	No	NA	5	1	0	Low-quality	Genome-fragment	0.98	AAI-based (medium-confidence)	0.0	1.01	
contig_103048	6368	No	NA	9	1	0	Low-quality	Genome-fragment	9.69	AAI-based (medium-confidence)	0.0	1.0	
contig_103057	3252	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_103108	11682	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	9.82	no viral genes detected; high kmer_freq may indicate large duplication
contig_103117	13769	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_103119	10371	No	NA	17	1	0	Low-quality	Genome-fragment	15.66	AAI-based (medium-confidence)	0.0	1.0	
contig_103145	12834	No	NA	28	6	0	Low-quality	Genome-fragment	14.99	HMM-based (lower-bound)	0.0	1.0	
contig_103162	4711	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_103163	8441	No	NA	18	5	0	Low-quality	Genome-fragment	12.04	HMM-based (lower-bound)	0.0	1.0	
contig_103171	10116	No	NA	17	7	0	Low-quality	Genome-fragment	18.66	AAI-based (high-confidence)	0.0	1.0	
