contig,position,strand,m,Ncanonical_C,Treatment,sample,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end
contig_52458,60008,true,0.03381524136241117,0.9968739645380182,bottom,barcode07,2389265,,,2389265,68,2389265,373
contig_52458,60008,true,0.0,1.0,middle,barcode06,2389265,,,2389265,68,2389265,373
contig_52736,25944,false,0.0,1.0,bottom,barcode03,2393706,elongation factor Tu,KOfam,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,bottom,barcode03,2393706,"Translation factors>>>Eukaryotic type>>>Elongation factors!!!Translation factors>>>Prokaryotic type>>>Elongation factors!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Mitochondrial translation factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells",KEGG_BRITE,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,bottom,barcode03,2393706,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",COG20_FUNCTION,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,bottom,barcode03,2393706,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,bottom,barcode03,2393706,Translation factors,COG20_PATHWAY,2393706,682,2393706,506
contig_52458,59631,true,0.7392102846648301,0.9035978556886778,bottom,barcode03,-1,,,2389265,309,2389263,364
contig_52458,8388,false,0.20930232558139536,0.7524303305249513,top,barcode01,-1,,,2389214,559,2389214,127
contig_52458,66790,false,0.09253139458030403,0.9973895733804712,bottom,barcode07,-1,,,2389272,83,2389272,251
contig_52458,71366,false,0.0,0.851063829787234,middle,barcode09,-1,,,2389276,486,2389276,738
contig_52458,71366,false,0.18466353677621283,0.8873929404703412,bottom,barcode03,-1,,,2389276,486,2389276,738
contig_52458,13659,false,0.5230769230769231,0.42614731970690317,bottom,barcode03,-1,,,2389217,2092,2389217,1804
contig_52458,66790,false,0.1553398058252427,0.9943000492196307,bottom,barcode10,-1,,,2389272,83,2389272,251
contig_52458,66793,true,0.38674033149171266,0.9576258958203068,bottom,barcode10,-1,,,2389269,3901,2389269,3433
contig_60340,366274,true,0.6597938144329897,0.9901020723785958,bottom,barcode03,-1,,,2540914,484,2540914,871
contig_52458,78753,true,0.04081632653061224,0.9991323210412147,middle,barcode09,-1,,,2389282,11,2389282,488
contig_52458,78753,true,0.0625,0.995850622406639,top,barcode01,-1,,,2389282,11,2389282,488
contig_52458,93679,true,0.6420664206642066,0.9366322237715566,bottom,barcode10,-1,,,2389291,4245,2389291,2928
contig_52736,25944,false,0.0,1.0,top,barcode01,2393706,elongation factor Tu,KOfam,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,top,barcode01,2393706,"Translation factors>>>Eukaryotic type>>>Elongation factors!!!Translation factors>>>Prokaryotic type>>>Elongation factors!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Mitochondrial translation factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells",KEGG_BRITE,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,top,barcode01,2393706,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",COG20_FUNCTION,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,top,barcode01,2393706,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2393706,682,2393706,506
contig_52736,25944,false,0.0,1.0,top,barcode01,2393706,Translation factors,COG20_PATHWAY,2393706,682,2393706,506
contig_52458,59635,false,0.14814814814814814,0.9935999999999999,top,barcode01,-1,,,2389264,26,2389264,218
contig_52458,59631,true,0.7426710097719871,0.8162322896624102,bottom,barcode10,-1,,,2389265,309,2389263,364
contig_52458,71366,false,0.09224318658280924,0.9608547099161965,bottom,barcode10,-1,,,2389276,486,2389276,738
contig_52458,78753,true,0.006023933898564145,0.9999546106730749,bottom,barcode03,-1,,,2389282,11,2389282,488
contig_52458,71366,false,0.0,0.933609958506224,top,barcode01,-1,,,2389276,486,2389276,738
contig_52458,60008,true,0.0,0.9945750452079566,middle,barcode09,2389265,,,2389265,68,2389265,373
contig_52458,59635,false,0.0,1.0,middle,barcode02,-1,,,2389264,26,2389264,218
contig_52458,93679,true,0.0,1.0,top,barcode01,-1,,,2389291,4245,2389291,2928
contig_52458,13659,false,0.5384615384615384,0.0,middle,barcode09,-1,,,2389217,2092,2389217,1804
contig_52458,66790,false,0.2222222222222222,0.9692307692307692,top,barcode01,-1,,,2389272,83,2389272,251
contig_52458,8388,false,0.25409130060292856,0.9375801085418803,middle,barcode09,-1,,,2389214,559,2389214,127
contig_52736,25944,false,0.09909909909909911,0.9793244808840568,bottom,barcode10,2393706,elongation factor Tu,KOfam,2393706,682,2393706,506
contig_52736,25944,false,0.09909909909909911,0.9793244808840568,bottom,barcode10,2393706,"Translation factors>>>Eukaryotic type>>>Elongation factors!!!Translation factors>>>Prokaryotic type>>>Elongation factors!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Mitochondrial translation factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells",KEGG_BRITE,2393706,682,2393706,506
contig_52736,25944,false,0.09909909909909911,0.9793244808840568,bottom,barcode10,2393706,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",COG20_FUNCTION,2393706,682,2393706,506
contig_52736,25944,false,0.09909909909909911,0.9793244808840568,bottom,barcode10,2393706,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2393706,682,2393706,506
contig_52736,25944,false,0.09909909909909911,0.9793244808840568,bottom,barcode10,2393706,Translation factors,COG20_PATHWAY,2393706,682,2393706,506
contig_52458,66793,true,0.4166666666666667,0.9438202247191011,middle,barcode09,-1,,,2389269,3901,2389269,3433
contig_52458,66793,true,0.2,0.9523809523809523,top,barcode01,-1,,,2389269,3901,2389269,3433
contig_52458,8388,false,0.0,0.8571428571428571,middle,barcode06,-1,,,2389214,559,2389214,127
contig_52736,25557,true,0.0,0.9911504424778761,middle,barcode09,-1,,,2393707,950,2393707,1232
contig_52458,13659,false,0.2644628099173554,0.8580799574505806,bottom,barcode10,-1,,,2389217,2092,2389217,1804
contig_60340,366274,true,0.7252747252747253,0.971806920119607,bottom,barcode07,-1,,,2540914,484,2540914,871
contig_52458,93679,true,0.7653168749059159,0.9606870673631399,bottom,barcode07,-1,,,2389291,4245,2389291,2928
contig_52458,13659,false,0.0,0.0,top,barcode01,-1,,,2389217,2092,2389217,1804
contig_50775,152040,true,0.7550673346509169,0.9792767603285024,bottom,barcode07,2366625,,,2366625,705,2366625,279
contig_52458,13659,false,0.0,0.7692307692307692,bottom,barcode07,-1,,,2389217,2092,2389217,1804
contig_60340,366274,true,0.0,1.0,middle,barcode09,-1,,,2540914,484,2540914,871
contig_60340,366274,true,0.14285714285714285,0.9767441860465116,top,barcode01,-1,,,2540914,484,2540914,871
contig_52458,66793,true,0.34013015184381773,0.9878605803481119,bottom,barcode03,-1,,,2389269,3901,2389269,3433
contig_52736,25557,true,0.8624334542087801,0.9617579200163432,bottom,barcode07,-1,,,2393707,950,2393707,1232
contig_52458,66790,false,0.15789473684210525,0.990228013029316,middle,barcode09,-1,,,2389272,83,2389272,251
contig_53420,82704,true,0.7185372634280215,0.9848193317565269,bottom,barcode03,2408264,small subunit ribosomal protein S3,KOfam,2408264,213,2408263,215
contig_53420,82704,true,0.7185372634280215,0.9848193317565269,bottom,barcode03,2408264,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,KEGG_BRITE,2408264,213,2408263,215
contig_53420,82704,true,0.7185372634280215,0.9848193317565269,bottom,barcode03,2408264,Ribosomal protein S3 (RpsC) (PDB:1VS6),COG20_FUNCTION,2408264,213,2408263,215
contig_53420,82704,true,0.7185372634280215,0.9848193317565269,bottom,barcode03,2408264,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2408264,213,2408263,215
contig_53420,82704,true,0.7185372634280215,0.9848193317565269,bottom,barcode03,2408264,Ribosome 30S subunit,COG20_PATHWAY,2408264,213,2408263,215
contig_52458,60008,true,0.029924453020243977,0.9992761037448521,bottom,barcode03,2389265,,,2389265,68,2389265,373
contig_52736,25557,true,0.8647659355429094,0.9657756179442419,bottom,barcode03,-1,,,2393707,950,2393707,1232
contig_52458,59631,true,0.5,0.8571428571428571,top,barcode01,-1,,,2389265,309,2389263,364
contig_50775,152040,true,0.0,1.0,top,barcode01,2366625,,,2366625,705,2366625,279
contig_52458,71366,false,0.1461675579322638,0.9299105780999042,bottom,barcode07,-1,,,2389276,486,2389276,738
contig_52458,66790,false,0.2,0.9756097560975611,middle,barcode06,-1,,,2389272,83,2389272,251
contig_52458,66790,false,0.07451487710219923,0.9992208656192368,bottom,barcode03,-1,,,2389272,83,2389272,251
contig_53420,82704,true,0.5898569570871262,0.9757391062103307,bottom,barcode10,2408264,small subunit ribosomal protein S3,KOfam,2408264,213,2408263,215
contig_53420,82704,true,0.5898569570871262,0.9757391062103307,bottom,barcode10,2408264,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,KEGG_BRITE,2408264,213,2408263,215
contig_53420,82704,true,0.5898569570871262,0.9757391062103307,bottom,barcode10,2408264,Ribosomal protein S3 (RpsC) (PDB:1VS6),COG20_FUNCTION,2408264,213,2408263,215
contig_53420,82704,true,0.5898569570871262,0.9757391062103307,bottom,barcode10,2408264,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2408264,213,2408263,215
contig_53420,82704,true,0.5898569570871262,0.9757391062103307,bottom,barcode10,2408264,Ribosome 30S subunit,COG20_PATHWAY,2408264,213,2408263,215
contig_52458,66793,true,0.37437603993344426,0.973117559941451,bottom,barcode07,-1,,,2389269,3901,2389269,3433
contig_50775,152040,true,0.0,1.0,middle,barcode09,2366625,,,2366625,705,2366625,279
contig_53420,82704,true,0.8082776668273535,0.9657153366264213,bottom,barcode07,2408264,small subunit ribosomal protein S3,KOfam,2408264,213,2408263,215
contig_53420,82704,true,0.8082776668273535,0.9657153366264213,bottom,barcode07,2408264,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,KEGG_BRITE,2408264,213,2408263,215
contig_53420,82704,true,0.8082776668273535,0.9657153366264213,bottom,barcode07,2408264,Ribosomal protein S3 (RpsC) (PDB:1VS6),COG20_FUNCTION,2408264,213,2408263,215
contig_53420,82704,true,0.8082776668273535,0.9657153366264213,bottom,barcode07,2408264,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2408264,213,2408263,215
contig_53420,82704,true,0.8082776668273535,0.9657153366264213,bottom,barcode07,2408264,Ribosome 30S subunit,COG20_PATHWAY,2408264,213,2408263,215
contig_52458,8388,false,0.05084745762711864,0.9616661635979474,bottom,barcode03,-1,,,2389214,559,2389214,127
contig_52458,60008,true,0.0,0.9938461538461538,top,barcode01,2389265,,,2389265,68,2389265,373
contig_52458,59635,false,0.03085630819791857,0.9995398524285416,bottom,barcode10,-1,,,2389264,26,2389264,218
contig_52458,59631,true,0.875,0.5333333333333333,middle,barcode09,-1,,,2389265,309,2389263,364
contig_52458,59635,false,0.024836553562949705,0.9995048457448436,bottom,barcode03,-1,,,2389264,26,2389264,218
contig_52458,59635,false,0.05030860603237451,0.9995443988951198,bottom,barcode07,-1,,,2389264,26,2389264,218
contig_52458,59635,false,0.0,0.9677419354838709,top,barcode05,-1,,,2389264,26,2389264,218
contig_53420,82704,true,0.0,1.0,middle,barcode09,2408264,small subunit ribosomal protein S3,KOfam,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,middle,barcode09,2408264,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,KEGG_BRITE,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,middle,barcode09,2408264,Ribosomal protein S3 (RpsC) (PDB:1VS6),COG20_FUNCTION,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,middle,barcode09,2408264,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,middle,barcode09,2408264,Ribosome 30S subunit,COG20_PATHWAY,2408264,213,2408263,215
contig_52458,59635,false,0.024383164005805518,0.9993979540799468,middle,barcode09,-1,,,2389264,26,2389264,218
contig_52458,78753,true,0.0,1.0,bottom,barcode10,-1,,,2389282,11,2389282,488
contig_50775,152040,true,0.7604166666666666,0.9837380262864781,bottom,barcode03,2366625,,,2366625,705,2366625,279
contig_52458,59631,true,0.6310517529215359,0.9074166286776308,bottom,barcode07,-1,,,2389265,309,2389263,364
contig_52458,93679,true,0.7560479905592342,0.9751622119272205,bottom,barcode03,-1,,,2389291,4245,2389291,2928
contig_52458,71366,false,0.0,0.8571428571428571,middle,barcode06,-1,,,2389276,486,2389276,738
contig_52736,25557,true,0.7868852459016393,0.9429250891795481,bottom,barcode10,-1,,,2393707,950,2393707,1232
