gene_callers_id,function,rao_score,source,test_result
2461614,Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.1  DNA topoisomerase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Topoisomerases!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHIIR (short-homology-independent illegitimate recombination)>>>Facilitator,NaN,KEGG_BRITE,true
2442351,Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2442357,Ribosomal protein S9 (RpsI) (PDB:4V4H),NaN,COG20_FUNCTION,true
2452218,H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1],NaN,KOfam,true
2461659,Thiamine biosynthesis,NaN,COG20_PATHWAY,true
2515467,KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]!!!Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.72  site-specific DNA-methyltransferase (adenine-specific)!!!Prokaryotic defense system>>>Restriction and modification system (R-M system)>>>Type II R-M system>>>DNA methyltransferases,NaN,KEGG_BRITE,true
2451388,TolB protein,NaN,KOfam,true
2442396,"KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00440 Phosphonate and phosphinate metabolism [PATH:ko00440]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.4  Phosphoric-diester hydrolases>>>3.1.4.55  phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",NaN,KEGG_BRITE,true
2451364,Aminoacyl-tRNA synthetases,NaN,COG20_PATHWAY,true
2435965,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2408587,RNA polymerase,NaN,COG20_PATHWAY,true
2435983,"3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains (SseA) (PDB:1BOH)",NaN,COG20_FUNCTION,true
2515439,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03420 Nucleotide excision repair [PATH:ko03420]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>GGR (global genome repair) factors!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHDIR (short-homology-dependent illegitimate recombination)>>>Supressor,NaN,KEGG_BRITE,true
2450056,"Enzymes>>>3. Hydrolases>>>3.9  Acting on phosphorus-nitrogen bonds>>>3.9.1  Acting on phosphorus-nitrogen bonds (only sub-subclass identified to date)>>>3.9.1.-!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>AARS associated factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)",NaN,KEGG_BRITE,true
2625759,Pathway modules; Amino acid metabolism; Histidine metabolism,NaN,KEGG_Class,true
2461618,"Translation, ribosomal structure and biogenesis!!!Replication, recombination and repair!!!Transcription",NaN,COG20_CATEGORY,true
2461579,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Large subunit,NaN,KEGG_BRITE,true
2408609,"KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00540 Lipopolysaccharide biosynthesis [PATH:ko00540]!!!Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.1  In linear amides>>>3.5.1.108  UDP-3-O-acyl-N-acetylglucosamine deacetylase!!!Lipopolysaccharide biosynthesis proteins>>>Lipid A",NaN,KEGG_BRITE,true
2995510,Proline degradation,NaN,COG20_PATHWAY,true
2461576,Translation factors,NaN,COG20_PATHWAY,true
2435958,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2625667,Pantothenate/CoA biosynthesis,NaN,COG20_PATHWAY,true
2451292,Glycine cleavage,NaN,COG20_PATHWAY,true
2435937,Pathway modules; Energy metabolism; ATP synthesis,NaN,KEGG_Class,true
2442401,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,NaN,KEGG_Class,true
2442415,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03420 Nucleotide excision repair [PATH:ko03420]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>GGR (global genome repair) factors!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHDIR (short-homology-dependent illegitimate recombination)>>>Supressor,NaN,KEGG_BRITE,true
2461592,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,NaN,KEGG_BRITE,true
2749790,Recombinational DNA repair protein RecR (RecR) (PDB:2JGR) (PUBMED:26337406),NaN,COG20_FUNCTION,true
2435790,Uroporphyrinogen-III decarboxylase HemE (HemE) (PDB:2DG5),NaN,COG20_FUNCTION,true
2435789,Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2449580,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]",NaN,KOfam,true
2452210,Carbohydrate transport and metabolism,NaN,COG20_CATEGORY,true
2625672,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2442401,dTMP kinase [EC:2.7.4.9],NaN,KOfam,true
2435959,Pyrimidine biosynthesis,NaN,COG20_PATHWAY,true
2625745,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",NaN,KEGG_Module,true
2408597,"Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)",NaN,COG20_FUNCTION,true
2450058,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2749787,Acetyl-CoA carboxylase alpha subunit (AccA) (PDB:2F9I),NaN,COG20_FUNCTION,true
2408584,Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30),NaN,COG20_FUNCTION,true
2474806,"Posttranslational modification, protein turnover, chaperones",NaN,COG20_CATEGORY,true
2435861,Arginine biosynthesis,NaN,COG20_PATHWAY,true
2451371,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],NaN,KOfam,true
2515522,Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2442393,Na+/H+ antiporter NhaA (NhaA) (PDB:1ZCD) (PUBMED:25746996),NaN,COG20_FUNCTION,true
2449578,Nicotinamide mononucleotide (NMN) deamidase PncC (PncC) (PDB:2A9S),NaN,COG20_FUNCTION,true
2461699,Chaperones and folding catalysts>>>Heat shock proteins>>>HSP10!!!Mitochondrial biogenesis>>>Mitochondrial protein import machinery>>>Matrix>>>Other matrix factors,NaN,KEGG_BRITE,true
2461657,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",NaN,KOfam,true
2435926,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00020 Citrate cycle (TCA cycle) [PATH:ko00020]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00640 Propanoate metabolism [PATH:ko00640]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00660 C5-Branched dibasic acid metabolism [PATH:ko00660]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]!!!Enzymes>>>6. Ligases>>>6.2  Forming carbon-sulfur bonds>>>6.2.1  Acid-thiol ligases>>>6.2.1.5  succinate---CoA ligase (ADP-forming),NaN,KEGG_BRITE,true
2451347,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,NaN,KEGG_Class,true
2461604,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2461626,"Endonuclease YncB, thermonuclease family (YncB)",NaN,COG20_FUNCTION,true
2436002,"Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family (NCS2) (PUBMED:24169576;24214977)",NaN,COG20_FUNCTION,true
2515466,Ribonuclease HII (RnhB) (PDB:1EKE),NaN,COG20_FUNCTION,true
2461566,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",NaN,COG20_FUNCTION,true
2451261,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2435880,Isoprenoid biosynthesis,NaN,COG20_PATHWAY,true
2450615,Carbohydrate transport and metabolism,NaN,COG20_CATEGORY,true
2451272,CBS-domain-containing membrane protein,NaN,COG20_FUNCTION,true
2996250,tryptophan synthase alpha chain [EC:4.2.1.20],NaN,KOfam,true
2627954,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2451210,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2449559,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,NaN,KEGG_Class,true
2442414,"Replication, recombination and repair",NaN,COG20_CATEGORY,true
2435806,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase (HisA) (PDB:4U28),NaN,COG20_FUNCTION,true
2451209,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis, IMP => GDP,GTP!!!Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP!!!Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP!!!Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",NaN,KEGG_Module,true
2627953,"ABC-type branched-chain amino acid transport system, permease component (LivM)",NaN,COG20_FUNCTION,true
2515476,"F-type ATPase, prokaryotes and chloroplasts",NaN,KEGG_Module,true
2515449,Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB),NaN,COG20_FUNCTION,true
2435790,Heme biosynthesis,NaN,COG20_PATHWAY,true
2442359,Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,NaN,KEGG_Class,true
2461638,Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.2  Acting on polysaccharides>>>4.2.2.-!!!Peptidoglycan biosynthesis and degradation proteins>>>Peptidoglycan biosynthesis and degradation>>>Lytic transglycosylase,NaN,KEGG_BRITE,true
2451326,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2625708,Glutamate synthase domain 1 (GltB1) (PDB:1EA0)!!!Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Glutamate synthase domain 3 (GltB3) (PDB:1EA0),NaN,COG20_FUNCTION,true
2627951,Inorganic ion transport and metabolism,NaN,COG20_CATEGORY,true
2442509,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.9  valine---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class I (U)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs,NaN,KEGG_BRITE,true
2408618,Energy production and conversion,NaN,COG20_CATEGORY,true
2451154,Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD),NaN,COG20_FUNCTION,true
2461582,Ribosome 50S subunit,NaN,COG20_PATHWAY,true
2996243,DNA anti-recombination protein (rearrangement mutator) RmuC (RmuC),NaN,COG20_FUNCTION,true
2749811,integration host factor subunit beta,NaN,KOfam,true
2435829,Small-conductance mechanosensitive channel (MscS) (PDB:2OAU),NaN,COG20_FUNCTION,true
2451369,chorismate synthase [EC:4.2.3.5],NaN,KOfam,true
2461623,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104],NaN,KOfam,true
2451219,16S rRNA modification,NaN,COG20_PATHWAY,true
2442430,Arginyl-tRNA synthetase (ArgS) (PDB:1BS2),NaN,COG20_FUNCTION,true
